date,Schwimmteich,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,20,False
2018-03-25,0,False
2018-04-01,21,False
2018-04-08,21,False
2018-04-15,0,False
2018-04-22,52,False
2018-04-29,0,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,41,False
2018-05-27,31,False
2018-06-03,30,False
2018-06-10,19,False
2018-06-17,40,False
2018-06-24,20,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,61,False
2018-07-29,32,False
2018-08-05,100,False
2018-08-12,21,False
2018-08-19,20,False
2018-08-26,58,False
2018-09-02,0,False
2018-09-09,20,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,40,False
2018-10-07,0,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,37,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,18,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,18,False
2019-03-10,27,False
2019-03-17,0,False
2019-03-24,18,False
2019-03-31,19,False
2019-04-07,28,False
2019-04-14,40,False
2019-04-21,29,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,17,False
2019-05-19,17,False
2019-05-26,35,False
2019-06-02,36,False
2019-06-09,28,False
2019-06-16,18,False
2019-06-23,37,False
2019-06-30,47,False
2019-07-07,27,False
2019-07-14,19,False
2019-07-21,77,False
2019-07-28,18,False
2019-08-04,38,False
2019-08-11,37,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,16,False
2019-09-08,0,False
2019-09-15,18,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,17,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,0,False
2019-11-24,16,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,0,False
2019-12-22,18,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,15,False
2020-02-02,0,False
2020-02-09,31,False
2020-02-16,16,False
2020-02-23,15,False
2020-03-01,0,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,13,False
2020-03-29,20,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,27,False
2020-04-26,27,False
2020-05-03,28,False
2020-05-10,42,False
2020-05-17,60,False
2020-05-24,14,False
2020-05-31,28,False
2020-06-07,44,False
2020-06-14,0,False
2020-06-21,45,False
2020-06-28,30,False
2020-07-05,24,False
