date,Gasinstallation,isPartial
2018-01-07,34,False
2018-01-14,45,False
2018-01-21,34,False
2018-01-28,34,False
2018-02-04,52,False
2018-02-11,0,False
2018-02-18,69,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,51,False
2018-03-25,37,False
2018-04-01,55,False
2018-04-08,0,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,36,False
2018-05-06,36,False
2018-05-13,69,False
2018-05-20,37,False
2018-05-27,71,False
2018-06-03,70,False
2018-06-10,33,False
2018-06-17,45,False
2018-06-24,35,False
2018-07-01,34,False
2018-07-08,34,False
2018-07-15,36,False
2018-07-22,35,False
2018-07-29,36,False
2018-08-05,35,False
2018-08-12,36,False
2018-08-19,0,False
2018-08-26,71,False
2018-09-02,35,False
2018-09-09,52,False
2018-09-16,52,False
2018-09-23,0,False
2018-09-30,35,False
2018-10-07,52,False
2018-10-14,70,False
2018-10-21,34,False
2018-10-28,34,False
2018-11-04,66,False
2018-11-11,68,False
2018-11-18,65,False
2018-11-25,67,False
2018-12-02,66,False
2018-12-09,0,False
2018-12-16,69,False
2018-12-23,79,False
2018-12-30,36,False
2019-01-06,48,False
2019-01-13,79,False
2019-01-20,31,False
2019-01-27,47,False
2019-02-03,64,False
2019-02-10,32,False
2019-02-17,49,False
2019-02-24,50,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,100,False
2019-04-07,65,False
2019-04-14,72,False
2019-04-21,35,False
2019-04-28,32,False
2019-05-05,32,False
2019-05-12,49,False
2019-05-19,0,False
2019-05-26,33,False
2019-06-02,64,False
2019-06-09,67,False
2019-06-16,0,False
2019-06-23,50,False
2019-06-30,49,False
2019-07-07,32,False
2019-07-14,68,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,70,False
2019-08-11,50,False
2019-08-18,34,False
2019-08-25,66,False
2019-09-01,0,False
2019-09-08,44,False
2019-09-15,33,False
2019-09-22,0,False
2019-09-29,64,False
2019-10-06,63,False
2019-10-13,42,False
2019-10-20,0,False
2019-10-27,31,False
2019-11-03,30,False
2019-11-10,61,False
2019-11-17,0,False
2019-11-24,45,False
2019-12-01,0,False
2019-12-08,46,False
2019-12-15,31,False
2019-12-22,35,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,57,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,29,False
2020-02-09,28,False
2020-02-16,59,False
2020-02-23,43,False
2020-03-01,28,False
2020-03-08,40,False
2020-03-15,26,False
2020-03-22,39,False
2020-03-29,52,False
2020-04-05,0,False
2020-04-12,27,False
2020-04-19,53,False
2020-04-26,52,False
2020-05-03,39,False
2020-05-10,40,False
