date,artisan plombier,isPartial
2018-01-07,0,False
2018-01-14,23,False
2018-01-21,22,False
2018-01-28,46,False
2018-02-04,23,False
2018-02-11,23,False
2018-02-18,49,False
2018-02-25,0,False
2018-03-04,34,False
2018-03-11,0,False
2018-03-18,23,False
2018-03-25,23,False
2018-04-01,24,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,0,False
2018-04-29,24,False
2018-05-06,25,False
2018-05-13,23,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,22,False
2018-06-10,0,False
2018-06-17,44,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,47,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,57,False
2018-08-12,45,False
2018-08-19,41,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,34,False
2018-09-16,45,False
2018-09-23,46,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,43,False
2018-10-21,45,False
2018-10-28,60,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,23,False
2018-12-09,23,False
2018-12-16,24,False
2018-12-23,29,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,44,False
2019-01-27,0,False
2019-02-03,42,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,23,False
2019-03-03,23,False
2019-03-10,46,False
2019-03-17,46,False
2019-03-24,24,False
2019-03-31,23,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,39,False
2019-04-28,26,False
2019-05-05,50,False
2019-05-12,36,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,100,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,30,False
2019-08-25,0,False
2019-09-01,47,False
2019-09-08,24,False
2019-09-15,23,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,34,False
2019-10-13,35,False
2019-10-20,24,False
2019-10-27,48,False
2019-11-03,23,False
2019-11-10,70,False
2019-11-17,23,False
2019-11-24,56,False
2019-12-01,22,False
2019-12-08,55,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,45,False
2020-01-26,0,False
2020-02-02,45,False
2020-02-09,45,False
2020-02-16,46,False
2020-02-23,65,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,45,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,22,False
2020-04-12,34,False
2020-04-19,33,False
2020-04-26,33,False
2020-05-03,21,False
2020-05-10,22,False
2020-05-17,0,True
