date,Energieunternehmen,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,0,False
2018-02-11,29,False
2018-02-18,100,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,42,False
2018-03-18,57,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,30,False
2018-04-22,28,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,57,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,57,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,59,False
2018-08-05,29,False
2018-08-12,60,False
2018-08-19,29,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,58,False
2018-09-30,72,False
2018-10-07,86,False
2018-10-14,29,False
2018-10-21,28,False
2018-10-28,28,False
2018-11-04,54,False
2018-11-11,28,False
2018-11-18,54,False
2018-11-25,55,False
2018-12-02,27,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,33,False
2018-12-30,0,False
2019-01-06,40,False
2019-01-13,52,False
2019-01-20,0,False
2019-01-27,52,False
2019-02-03,27,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,53,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,27,False
2019-04-14,59,False
2019-04-21,58,False
2019-04-28,0,False
2019-05-05,39,False
2019-05-12,41,False
2019-05-19,40,False
2019-05-26,28,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,28,False
2019-06-23,28,False
2019-06-30,0,False
2019-07-07,41,False
2019-07-14,56,False
2019-07-21,30,False
2019-07-28,28,False
2019-08-04,58,False
2019-08-11,27,False
2019-08-18,0,False
2019-08-25,55,False
2019-09-01,53,False
2019-09-08,27,False
2019-09-15,41,False
2019-09-22,39,False
2019-09-29,27,False
2019-10-06,26,False
2019-10-13,52,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,37,False
2019-11-10,38,False
2019-11-17,38,False
2019-11-24,37,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,51,False
2019-12-22,30,False
2019-12-29,27,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,36,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,47,False
2020-03-01,35,False
2020-03-08,44,False
2020-03-15,22,False
2020-03-22,64,False
2020-03-29,21,False
2020-04-05,24,False
2020-04-12,0,False
2020-04-19,44,False
2020-04-26,64,False
2020-05-03,22,False
2020-05-10,44,False
