date,Baufirmen,isPartial
2018-01-07,25,False
2018-01-14,74,False
2018-01-21,49,False
2018-01-28,25,False
2018-02-04,39,False
2018-02-11,38,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,89,False
2018-03-11,38,False
2018-03-18,51,False
2018-03-25,27,False
2018-04-01,54,False
2018-04-08,51,False
2018-04-15,52,False
2018-04-22,50,False
2018-04-29,39,False
2018-05-06,27,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,25,False
2018-06-03,38,False
2018-06-10,24,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,50,False
2018-07-08,24,False
2018-07-15,52,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,53,False
2018-08-19,65,False
2018-08-26,76,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,0,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,52,False
2018-10-28,25,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,48,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,61,False
2018-12-16,100,False
2018-12-23,43,False
2018-12-30,26,False
2019-01-06,35,False
2019-01-13,58,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,35,False
2019-02-10,0,False
2019-02-17,36,False
2019-02-24,0,False
2019-03-03,47,False
2019-03-10,23,False
2019-03-17,49,False
2019-03-24,48,False
2019-03-31,47,False
2019-04-07,36,False
2019-04-14,40,False
2019-04-21,51,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,49,False
2019-06-02,24,False
2019-06-09,49,False
2019-06-16,24,False
2019-06-23,25,False
2019-06-30,71,False
2019-07-07,24,False
2019-07-14,50,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,76,False
2019-08-18,25,False
2019-08-25,48,False
2019-09-01,36,False
2019-09-08,36,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,48,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,44,False
2019-11-10,56,False
2019-11-17,33,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,22,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,62,False
2020-01-19,21,False
2020-01-26,21,False
2020-02-02,42,False
2020-02-09,41,False
2020-02-16,43,False
2020-02-23,20,False
2020-03-01,61,False
2020-03-08,0,False
2020-03-15,58,False
2020-03-22,19,False
2020-03-29,57,False
2020-04-05,31,False
2020-04-12,39,False
2020-04-19,39,False
2020-04-26,0,False
2020-05-03,39,False
2020-05-10,20,False
