date,Baufirmen,isPartial
2018-01-07,53,False
2018-01-14,42,False
2018-01-21,63,False
2018-01-28,32,False
2018-02-04,58,False
2018-02-11,52,False
2018-02-18,55,False
2018-02-25,44,False
2018-03-04,37,False
2018-03-11,44,False
2018-03-18,52,False
2018-03-25,55,False
2018-04-01,48,False
2018-04-08,79,False
2018-04-15,30,False
2018-04-22,81,False
2018-04-29,68,False
2018-05-06,46,False
2018-05-13,33,False
2018-05-20,23,False
2018-05-27,47,False
2018-06-03,66,False
2018-06-10,21,False
2018-06-17,42,False
2018-06-24,63,False
2018-07-01,21,False
2018-07-08,28,False
2018-07-15,35,False
2018-07-22,42,False
2018-07-29,43,False
2018-08-05,22,False
2018-08-12,24,False
2018-08-19,83,False
2018-08-26,46,False
2018-09-02,53,False
2018-09-09,44,False
2018-09-16,30,False
2018-09-23,100,False
2018-09-30,44,False
2018-10-07,36,False
2018-10-14,65,False
2018-10-21,65,False
2018-10-28,36,False
2018-11-04,0,False
2018-11-11,63,False
2018-11-18,34,False
2018-11-25,42,False
2018-12-02,0,False
2018-12-09,35,False
2018-12-16,22,False
2018-12-23,38,False
2018-12-30,23,False
2019-01-06,27,False
2019-01-13,20,False
2019-01-20,33,False
2019-01-27,46,False
2019-02-03,69,False
2019-02-10,54,False
2019-02-17,68,False
2019-02-24,31,False
2019-03-03,41,False
2019-03-10,40,False
2019-03-17,43,False
2019-03-24,21,False
2019-03-31,76,False
2019-04-07,42,False
2019-04-14,23,False
2019-04-21,44,False
2019-04-28,21,False
2019-05-05,40,False
2019-05-12,30,False
2019-05-19,20,False
2019-05-26,28,False
2019-06-02,56,False
2019-06-09,22,False
2019-06-16,0,False
2019-06-23,42,False
2019-06-30,61,False
2019-07-07,69,False
2019-07-14,34,False
2019-07-21,54,False
2019-07-28,28,False
2019-08-04,44,False
2019-08-11,55,False
2019-08-18,60,False
2019-08-25,51,False
2019-09-01,42,False
2019-09-08,89,False
2019-09-15,41,False
2019-09-22,46,False
2019-09-29,20,False
2019-10-06,39,False
2019-10-13,59,False
2019-10-20,33,False
2019-10-27,58,False
2019-11-03,32,False
2019-11-10,68,False
2019-11-17,29,False
2019-11-24,25,False
2019-12-01,39,False
2019-12-08,39,False
2019-12-15,20,False
2019-12-22,34,False
2019-12-29,42,False
2020-01-05,37,False
2020-01-12,36,False
2020-01-19,50,False
2020-01-26,43,False
2020-02-02,46,False
2020-02-09,26,False
2020-02-16,38,False
2020-02-23,55,False
2020-03-01,36,False
2020-03-08,34,False
2020-03-15,55,False
2020-03-22,25,False
2020-03-29,50,False
2020-04-05,18,False
2020-04-12,47,False
2020-04-19,45,False
2020-04-26,33,False
2020-05-03,45,False
2020-05-10,42,False
