date,Baufirmen,isPartial
2018-01-07,0,False
2018-01-14,31,False
2018-01-21,46,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,46,False
2018-03-11,0,False
2018-03-18,64,False
2018-03-25,65,False
2018-04-01,32,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,31,False
2018-04-29,43,False
2018-05-06,33,False
2018-05-13,62,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,42,False
2018-06-10,30,False
2018-06-17,46,False
2018-06-24,63,False
2018-07-01,33,False
2018-07-08,32,False
2018-07-15,52,False
2018-07-22,33,False
2018-07-29,31,False
2018-08-05,0,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,61,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,31,False
2018-09-30,48,False
2018-10-07,0,False
2018-10-14,31,False
2018-10-21,45,False
2018-10-28,90,False
2018-11-04,45,False
2018-11-11,61,False
2018-11-18,89,False
2018-11-25,31,False
2018-12-02,0,False
2018-12-09,61,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,63,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,57,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,45,False
2019-02-24,61,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,74,False
2019-03-24,90,False
2019-03-31,30,False
2019-04-07,31,False
2019-04-14,100,False
2019-04-21,41,False
2019-04-28,30,False
2019-05-05,44,False
2019-05-12,60,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,58,False
2019-06-09,29,False
2019-06-16,44,False
2019-06-23,50,False
2019-06-30,29,False
2019-07-07,40,False
2019-07-14,0,False
2019-07-21,33,False
2019-07-28,46,False
2019-08-04,61,False
2019-08-11,28,False
2019-08-18,29,False
2019-08-25,38,False
2019-09-01,37,False
2019-09-08,57,False
2019-09-15,57,False
2019-09-22,42,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,42,False
2019-10-20,28,False
2019-10-27,55,False
2019-11-03,27,False
2019-11-10,80,False
2019-11-17,55,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,75,False
2019-12-29,42,False
2020-01-05,26,False
2020-01-12,75,False
2020-01-19,26,False
2020-01-26,52,False
2020-02-02,25,False
2020-02-09,50,False
2020-02-16,26,False
2020-02-23,52,False
2020-03-01,65,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,48,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,50,False
2020-04-19,0,False
2020-04-26,35,False
2020-05-03,0,False
2020-05-10,23,False
