date,folieren,isPartial
2018-01-07,76,False
2018-01-14,76,False
2018-01-21,76,False
2018-01-28,69,False
2018-02-04,66,False
2018-02-11,81,False
2018-02-18,85,False
2018-02-25,84,False
2018-03-04,82,False
2018-03-11,78,False
2018-03-18,91,False
2018-03-25,72,False
2018-04-01,100,False
2018-04-08,82,False
2018-04-15,71,False
2018-04-22,94,False
2018-04-29,74,False
2018-05-06,80,False
2018-05-13,63,False
2018-05-20,95,False
2018-05-27,66,False
2018-06-03,73,False
2018-06-10,73,False
2018-06-17,81,False
2018-06-24,73,False
2018-07-01,89,False
2018-07-08,70,False
2018-07-15,66,False
2018-07-22,69,False
2018-07-29,50,False
2018-08-05,51,False
2018-08-12,79,False
2018-08-19,65,False
2018-08-26,76,False
2018-09-02,67,False
2018-09-09,62,False
2018-09-16,100,False
2018-09-23,71,False
2018-09-30,64,False
2018-10-07,67,False
2018-10-14,57,False
2018-10-21,71,False
2018-10-28,56,False
2018-11-04,74,False
2018-11-11,49,False
2018-11-18,59,False
2018-11-25,50,False
2018-12-02,45,False
2018-12-09,47,False
2018-12-16,62,False
2018-12-23,49,False
2018-12-30,67,False
2019-01-06,52,False
2019-01-13,62,False
2019-01-20,57,False
2019-01-27,54,False
2019-02-03,80,False
2019-02-10,59,False
2019-02-17,81,False
2019-02-24,69,False
2019-03-03,81,False
2019-03-10,68,False
2019-03-17,70,False
2019-03-24,70,False
2019-03-31,75,False
2019-04-07,80,False
2019-04-14,87,False
2019-04-21,92,False
2019-04-28,86,False
2019-05-05,81,False
2019-05-12,77,False
2019-05-19,82,False
2019-05-26,81,False
2019-06-02,62,False
2019-06-09,82,False
2019-06-16,69,False
2019-06-23,62,False
2019-06-30,61,False
2019-07-07,81,False
2019-07-14,69,False
2019-07-21,82,False
2019-07-28,76,False
2019-08-04,69,False
2019-08-11,61,False
2019-08-18,86,False
2019-08-25,66,False
2019-09-01,69,False
2019-09-08,73,False
2019-09-15,65,False
2019-09-22,76,False
2019-09-29,70,False
2019-10-06,41,False
2019-10-13,66,False
2019-10-20,68,False
2019-10-27,65,False
2019-11-03,56,False
2019-11-10,62,False
2019-11-17,48,False
2019-11-24,65,False
2019-12-01,43,False
2019-12-08,41,False
2019-12-15,49,False
2019-12-22,41,False
2019-12-29,42,False
2020-01-05,49,False
2020-01-12,60,False
2020-01-19,59,False
2020-01-26,57,False
2020-02-02,58,False
2020-02-09,72,False
2020-02-16,73,False
2020-02-23,63,False
2020-03-01,85,False
2020-03-08,72,False
2020-03-15,52,False
2020-03-22,52,False
2020-03-29,62,False
2020-04-05,84,False
2020-04-12,77,False
2020-04-19,70,False
2020-04-26,86,False
2020-05-03,66,False
2020-05-10,76,False
