date,Reinigungsfirma,isPartial
2018-01-07,71,False
2018-01-14,35,False
2018-01-21,34,False
2018-01-28,0,False
2018-02-04,71,False
2018-02-11,53,False
2018-02-18,70,False
2018-02-25,87,False
2018-03-04,35,False
2018-03-11,53,False
2018-03-18,36,False
2018-03-25,35,False
2018-04-01,56,False
2018-04-08,37,False
2018-04-15,0,False
2018-04-22,70,False
2018-04-29,36,False
2018-05-06,74,False
2018-05-13,35,False
2018-05-20,36,False
2018-05-27,35,False
2018-06-03,0,False
2018-06-10,49,False
2018-06-17,33,False
2018-06-24,35,False
2018-07-01,34,False
2018-07-08,34,False
2018-07-15,36,False
2018-07-22,70,False
2018-07-29,34,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,45,False
2018-08-26,0,False
2018-09-02,52,False
2018-09-09,50,False
2018-09-16,52,False
2018-09-23,35,False
2018-09-30,35,False
2018-10-07,56,False
2018-10-14,36,False
2018-10-21,0,False
2018-10-28,66,False
2018-11-04,33,False
2018-11-11,69,False
2018-11-18,0,False
2018-11-25,51,False
2018-12-02,51,False
2018-12-09,35,False
2018-12-16,35,False
2018-12-23,56,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,0,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,32,False
2019-02-10,33,False
2019-02-17,44,False
2019-02-24,67,False
2019-03-03,48,False
2019-03-10,63,False
2019-03-17,67,False
2019-03-24,34,False
2019-03-31,35,False
2019-04-07,0,False
2019-04-14,53,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,44,False
2019-05-12,100,False
2019-05-19,97,False
2019-05-26,32,False
2019-06-02,48,False
2019-06-09,31,False
2019-06-16,48,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,42,False
2019-07-14,0,False
2019-07-21,33,False
2019-07-28,47,False
2019-08-04,0,False
2019-08-11,88,False
2019-08-18,30,False
2019-08-25,62,False
2019-09-01,39,False
2019-09-08,46,False
2019-09-15,31,False
2019-09-22,31,False
2019-09-29,30,False
2019-10-06,51,False
2019-10-13,30,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,29,False
2019-11-10,60,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,60,False
2019-12-08,59,False
2019-12-15,30,False
2019-12-22,33,False
2019-12-29,30,False
2020-01-05,56,False
2020-01-12,41,False
2020-01-19,58,False
2020-01-26,57,False
2020-02-02,28,False
2020-02-09,55,False
2020-02-16,85,False
2020-02-23,46,False
2020-03-01,56,False
2020-03-08,35,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,41,False
2020-04-05,27,False
2020-04-12,26,False
2020-04-19,51,False
2020-04-26,24,False
2020-05-03,25,False
2020-05-10,25,False
