date,boda civil,isPartial
2018-01-07,69,False
2018-01-14,34,False
2018-01-21,51,False
2018-01-28,33,False
2018-02-04,0,False
2018-02-11,69,False
2018-02-18,68,False
2018-02-25,49,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,36,False
2018-03-25,57,False
2018-04-01,0,False
2018-04-08,50,False
2018-04-15,68,False
2018-04-22,65,False
2018-04-29,0,False
2018-05-06,66,False
2018-05-13,34,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,66,False
2018-06-10,33,False
2018-06-17,36,False
2018-06-24,35,False
2018-07-01,36,False
2018-07-08,71,False
2018-07-15,37,False
2018-07-22,0,False
2018-07-29,37,False
2018-08-05,76,False
2018-08-12,74,False
2018-08-19,38,False
2018-08-26,72,False
2018-09-02,68,False
2018-09-09,65,False
2018-09-16,68,False
2018-09-23,33,False
2018-09-30,34,False
2018-10-07,35,False
2018-10-14,32,False
2018-10-21,100,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,34,False
2018-12-02,36,False
2018-12-09,35,False
2018-12-16,54,False
2018-12-23,40,False
2018-12-30,39,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,31,False
2019-01-27,32,False
2019-02-03,34,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,34,False
2019-03-03,34,False
2019-03-10,69,False
2019-03-17,0,False
2019-03-24,50,False
2019-03-31,0,False
2019-04-07,35,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,66,False
2019-05-05,33,False
2019-05-12,50,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,63,False
2019-06-09,0,False
2019-06-16,65,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,34,False
2019-07-14,0,False
2019-07-21,35,False
2019-07-28,36,False
2019-08-04,55,False
2019-08-11,37,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,58,False
2019-09-15,32,False
2019-09-22,32,False
2019-09-29,62,False
2019-10-06,30,False
2019-10-13,91,False
2019-10-20,0,False
2019-10-27,30,False
2019-11-03,59,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,32,False
2020-01-05,29,False
2020-01-12,27,False
2020-01-19,26,False
2020-01-26,28,False
2020-02-02,0,False
2020-02-09,42,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,77,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,24,False
2020-04-12,0,True
