date,boda civil,isPartial
2018-01-07,75,False
2018-01-14,63,False
2018-01-21,12,False
2018-01-28,37,False
2018-02-04,24,False
2018-02-11,100,False
2018-02-18,25,False
2018-02-25,72,False
2018-03-04,49,False
2018-03-11,36,False
2018-03-18,12,False
2018-03-25,69,False
2018-04-01,25,False
2018-04-08,47,False
2018-04-15,49,False
2018-04-22,24,False
2018-04-29,61,False
2018-05-06,46,False
2018-05-13,49,False
2018-05-20,25,False
2018-05-27,36,False
2018-06-03,36,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,50,False
2018-07-01,50,False
2018-07-08,61,False
2018-07-15,12,False
2018-07-22,25,False
2018-07-29,13,False
2018-08-05,26,False
2018-08-12,28,False
2018-08-19,69,False
2018-08-26,51,False
2018-09-02,73,False
2018-09-09,13,False
2018-09-16,24,False
2018-09-23,48,False
2018-09-30,36,False
2018-10-07,49,False
2018-10-14,72,False
2018-10-21,0,False
2018-10-28,25,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,23,False
2018-11-25,0,False
2018-12-02,26,False
2018-12-09,12,False
2018-12-16,13,False
2018-12-23,15,False
2018-12-30,0,False
2019-01-06,50,False
2019-01-13,0,False
2019-01-20,12,False
2019-01-27,0,False
2019-02-03,12,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,61,False
2019-03-03,36,False
2019-03-10,24,False
2019-03-17,12,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,36,False
2019-04-14,39,False
2019-04-21,24,False
2019-04-28,34,False
2019-05-05,82,False
2019-05-12,23,False
2019-05-19,34,False
2019-05-26,45,False
2019-06-02,68,False
2019-06-09,23,False
2019-06-16,59,False
2019-06-23,62,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,49,False
2019-07-28,76,False
2019-08-04,13,False
2019-08-11,53,False
2019-08-18,13,False
2019-08-25,36,False
2019-09-01,34,False
2019-09-08,57,False
2019-09-15,0,False
2019-09-22,33,False
2019-09-29,44,False
2019-10-06,11,False
2019-10-13,42,False
2019-10-20,64,False
2019-10-27,23,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,42,False
2019-12-01,22,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,39,False
2019-12-29,60,False
2020-01-05,33,False
2020-01-12,62,False
2020-01-19,51,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,32,False
2020-02-23,31,False
2020-03-01,10,False
2020-03-08,20,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,10,False
2020-04-05,10,False
2020-04-12,17,True
