date,Hortensien schneiden,isPartial
2018-01-07,21,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,52,False
2018-03-18,21,False
2018-03-25,79,False
2018-04-01,59,False
2018-04-08,91,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,23,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,22,False
2018-06-10,65,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,44,False
2018-07-08,0,False
2018-07-15,23,False
2018-07-22,34,False
2018-07-29,47,False
2018-08-05,23,False
2018-08-12,47,False
2018-08-19,34,False
2018-08-26,22,False
2018-09-02,22,False
2018-09-09,33,False
2018-09-16,45,False
2018-09-23,45,False
2018-09-30,22,False
2018-10-07,67,False
2018-10-14,100,False
2018-10-21,79,False
2018-10-28,22,False
2018-11-04,64,False
2018-11-11,22,False
2018-11-18,0,False
2018-11-25,43,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,0,False
2019-01-27,20,False
2019-02-03,21,False
2019-02-10,20,False
2019-02-17,40,False
2019-02-24,60,False
2019-03-03,81,False
2019-03-10,20,False
2019-03-17,52,False
2019-03-24,83,False
2019-03-31,0,False
2019-04-07,21,False
2019-04-14,45,False
2019-04-21,22,False
2019-04-28,21,False
2019-05-05,0,False
2019-05-12,31,False
2019-05-19,62,False
2019-05-26,41,False
2019-06-02,21,False
2019-06-09,21,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,34,False
2019-08-11,33,False
2019-08-18,21,False
2019-08-25,63,False
2019-09-01,20,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,80,False
2019-10-13,70,False
2019-10-20,69,False
2019-10-27,40,False
2019-11-03,39,False
2019-11-10,19,False
2019-11-17,29,False
2019-11-24,19,False
2019-12-01,39,False
2019-12-08,20,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,53,False
2020-02-02,54,False
2020-02-09,27,False
2020-02-16,54,False
2020-02-23,59,False
2020-03-01,70,False
2020-03-08,75,False
2020-03-15,85,False
2020-03-22,33,False
2020-03-29,67,False
2020-04-05,19,False
2020-04-12,18,False
2020-04-19,43,False
2020-04-26,34,False
2020-05-03,18,False
2020-05-10,26,False
2020-05-17,37,False
2020-05-24,18,False
2020-05-31,0,False
2020-06-07,35,False
2020-06-14,26,False
2020-06-21,0,False
2020-06-28,36,False
2020-07-05,56,False
