date,Hausanstrich,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,0,False
2018-01-28,61,False
2018-02-04,48,False
2018-02-11,63,False
2018-02-18,32,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,31,False
2018-03-18,63,False
2018-03-25,34,False
2018-04-01,84,False
2018-04-08,33,False
2018-04-15,55,False
2018-04-22,53,False
2018-04-29,66,False
2018-05-06,67,False
2018-05-13,63,False
2018-05-20,0,False
2018-05-27,54,False
2018-06-03,32,False
2018-06-10,61,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,63,False
2018-07-08,63,False
2018-07-15,33,False
2018-07-22,49,False
2018-07-29,49,False
2018-08-05,49,False
2018-08-12,33,False
2018-08-19,33,False
2018-08-26,49,False
2018-09-02,54,False
2018-09-09,32,False
2018-09-16,48,False
2018-09-23,32,False
2018-09-30,80,False
2018-10-07,0,False
2018-10-14,48,False
2018-10-21,46,False
2018-10-28,46,False
2018-11-04,45,False
2018-11-11,46,False
2018-11-18,60,False
2018-11-25,46,False
2018-12-02,0,False
2018-12-09,31,False
2018-12-16,31,False
2018-12-23,36,False
2018-12-30,0,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,57,False
2019-01-27,29,False
2019-02-03,30,False
2019-02-10,60,False
2019-02-17,75,False
2019-02-24,45,False
2019-03-03,30,False
2019-03-10,29,False
2019-03-17,61,False
2019-03-24,45,False
2019-03-31,30,False
2019-04-07,100,False
2019-04-14,33,False
2019-04-21,64,False
2019-04-28,30,False
2019-05-05,49,False
2019-05-12,70,False
2019-05-19,0,False
2019-05-26,30,False
2019-06-02,45,False
2019-06-09,46,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,45,False
2019-07-07,50,False
2019-07-14,62,False
2019-07-21,32,False
2019-07-28,32,False
2019-08-04,48,False
2019-08-11,71,False
2019-08-18,0,False
2019-08-25,45,False
2019-09-01,29,False
2019-09-08,45,False
2019-09-15,0,False
2019-09-22,44,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,87,False
2019-10-20,48,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,33,False
2019-12-29,30,False
2020-01-05,54,False
2020-01-12,52,False
2020-01-19,53,False
2020-01-26,53,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,80,False
2020-02-23,26,False
2020-03-01,60,False
2020-03-08,33,False
2020-03-15,24,False
2020-03-22,72,False
2020-03-29,24,False
2020-04-05,26,False
2020-04-12,42,False
2020-04-19,65,False
2020-04-26,47,False
2020-05-03,72,False
2020-05-10,24,False
2020-05-17,87,True
