date,association alimentaire,isPartial
2018-01-07,44,False
2018-01-14,59,False
2018-01-21,29,False
2018-01-28,59,False
2018-02-04,29,False
2018-02-11,30,False
2018-02-18,79,False
2018-02-25,47,False
2018-03-04,30,False
2018-03-11,0,False
2018-03-18,61,False
2018-03-25,46,False
2018-04-01,47,False
2018-04-08,30,False
2018-04-15,32,False
2018-04-22,32,False
2018-04-29,62,False
2018-05-06,66,False
2018-05-13,45,False
2018-05-20,30,False
2018-05-27,29,False
2018-06-03,44,False
2018-06-10,28,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,33,False
2018-07-22,45,False
2018-07-29,35,False
2018-08-05,37,False
2018-08-12,39,False
2018-08-19,36,False
2018-08-26,32,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,29,False
2018-09-23,59,False
2018-09-30,39,False
2018-10-07,39,False
2018-10-14,56,False
2018-10-21,86,False
2018-10-28,32,False
2018-11-04,29,False
2018-11-11,47,False
2018-11-18,58,False
2018-11-25,29,False
2018-12-02,39,False
2018-12-09,60,False
2018-12-16,0,False
2018-12-23,37,False
2018-12-30,34,False
2019-01-06,30,False
2019-01-13,69,False
2019-01-20,43,False
2019-01-27,48,False
2019-02-03,55,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,76,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,40,False
2019-03-24,42,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,32,False
2019-04-21,57,False
2019-04-28,0,False
2019-05-05,65,False
2019-05-12,63,False
2019-05-19,51,False
2019-05-26,53,False
2019-06-02,28,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,48,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,37,False
2019-08-04,40,False
2019-08-11,41,False
2019-08-18,79,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,77,False
2019-09-15,40,False
2019-09-22,59,False
2019-09-29,29,False
2019-10-06,30,False
2019-10-13,30,False
2019-10-20,46,False
2019-10-27,31,False
2019-11-03,58,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,58,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,30,False
2019-12-22,53,False
2019-12-29,34,False
2020-01-05,43,False
2020-01-12,66,False
2020-01-19,29,False
2020-01-26,57,False
2020-02-02,29,False
2020-02-09,29,False
2020-02-16,40,False
2020-02-23,42,False
2020-03-01,27,False
2020-03-08,55,False
2020-03-15,48,False
2020-03-22,39,False
2020-03-29,30,False
2020-04-05,86,False
2020-04-12,59,False
2020-04-19,100,False
2020-04-26,47,False
2020-05-03,72,False
2020-05-10,71,False
2020-05-17,90,True
