date,peinados boda,isPartial
2018-01-07,0,False
2018-01-14,19,False
2018-01-21,0,False
2018-01-28,9,False
2018-02-04,18,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,9,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,29,False
2018-03-25,12,False
2018-04-01,0,False
2018-04-08,9,False
2018-04-15,37,False
2018-04-22,37,False
2018-04-29,73,False
2018-05-06,36,False
2018-05-13,48,False
2018-05-20,37,False
2018-05-27,54,False
2018-06-03,36,False
2018-06-10,46,False
2018-06-17,29,False
2018-06-24,59,False
2018-07-01,51,False
2018-07-08,21,False
2018-07-15,33,False
2018-07-22,11,False
2018-07-29,36,False
2018-08-05,76,False
2018-08-12,54,False
2018-08-19,51,False
2018-08-26,100,False
2018-09-02,39,False
2018-09-09,67,False
2018-09-16,36,False
2018-09-23,54,False
2018-09-30,27,False
2018-10-07,19,False
2018-10-14,27,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,17,False
2018-11-18,17,False
2018-11-25,8,False
2018-12-02,45,False
2018-12-09,9,False
2018-12-16,9,False
2018-12-23,0,False
2018-12-30,19,False
2019-01-06,9,False
2019-01-13,9,False
2019-01-20,8,False
2019-01-27,23,False
2019-02-03,18,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,16,False
2019-03-03,18,False
2019-03-10,0,False
2019-03-17,9,False
2019-03-24,18,False
2019-03-31,26,False
2019-04-07,47,False
2019-04-14,11,False
2019-04-21,53,False
2019-04-28,19,False
2019-05-05,24,False
2019-05-12,35,False
2019-05-19,52,False
2019-05-26,51,False
2019-06-02,8,False
2019-06-09,49,False
2019-06-16,72,False
2019-06-23,37,False
2019-06-30,57,False
2019-07-07,63,False
2019-07-14,72,False
2019-07-21,20,False
2019-07-28,11,False
2019-08-04,49,False
2019-08-11,53,False
2019-08-18,37,False
2019-08-25,32,False
2019-09-01,34,False
2019-09-08,34,False
2019-09-15,49,False
2019-09-22,51,False
2019-09-29,25,False
2019-10-06,17,False
2019-10-13,16,False
2019-10-20,8,False
2019-10-27,17,False
2019-11-03,0,False
2019-11-10,47,False
2019-11-17,8,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,8,False
2019-12-22,10,False
2019-12-29,0,False
2020-01-05,8,False
2020-01-12,8,False
2020-01-19,8,False
2020-01-26,23,False
2020-02-02,15,False
2020-02-09,15,False
2020-02-16,0,False
2020-02-23,15,False
2020-03-01,15,False
2020-03-08,7,False
2020-03-15,15,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,8,False
2020-04-12,0,True
