date,peinados boda,isPartial
2018-01-07,21,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,21,False
2018-02-04,7,False
2018-02-11,15,False
2018-02-18,29,False
2018-02-25,68,False
2018-03-04,40,False
2018-03-11,20,False
2018-03-18,43,False
2018-03-25,31,False
2018-04-01,21,False
2018-04-08,27,False
2018-04-15,22,False
2018-04-22,14,False
2018-04-29,7,False
2018-05-06,28,False
2018-05-13,29,False
2018-05-20,51,False
2018-05-27,73,False
2018-06-03,64,False
2018-06-10,76,False
2018-06-17,30,False
2018-06-24,58,False
2018-07-01,44,False
2018-07-08,50,False
2018-07-15,23,False
2018-07-22,59,False
2018-07-29,28,False
2018-08-05,49,False
2018-08-12,71,False
2018-08-19,100,False
2018-08-26,84,False
2018-09-02,99,False
2018-09-09,76,False
2018-09-16,64,False
2018-09-23,49,False
2018-09-30,86,False
2018-10-07,65,False
2018-10-14,41,False
2018-10-21,21,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,7,False
2018-11-18,13,False
2018-11-25,14,False
2018-12-02,8,False
2018-12-09,7,False
2018-12-16,15,False
2018-12-23,8,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,7,False
2019-01-20,39,False
2019-01-27,7,False
2019-02-03,7,False
2019-02-10,42,False
2019-02-17,28,False
2019-02-24,23,False
2019-03-03,14,False
2019-03-10,22,False
2019-03-17,21,False
2019-03-24,14,False
2019-03-31,47,False
2019-04-07,35,False
2019-04-14,14,False
2019-04-21,33,False
2019-04-28,21,False
2019-05-05,37,False
2019-05-12,36,False
2019-05-19,57,False
2019-05-26,55,False
2019-06-02,41,False
2019-06-09,69,False
2019-06-16,58,False
2019-06-23,21,False
2019-06-30,42,False
2019-07-07,64,False
2019-07-14,43,False
2019-07-21,22,False
2019-07-28,57,False
2019-08-04,49,False
2019-08-11,48,False
2019-08-18,47,False
2019-08-25,39,False
2019-09-01,87,False
2019-09-08,71,False
2019-09-15,59,False
2019-09-22,73,False
2019-09-29,46,False
2019-10-06,53,False
2019-10-13,39,False
2019-10-20,13,False
2019-10-27,6,False
2019-11-03,6,False
2019-11-10,13,False
2019-11-17,25,False
2019-11-24,24,False
2019-12-01,32,False
2019-12-08,13,False
2019-12-15,12,False
2019-12-22,14,False
2019-12-29,0,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,23,False
2020-01-26,18,False
2020-02-02,12,False
2020-02-09,0,False
2020-02-16,18,False
2020-02-23,31,False
2020-03-01,18,False
2020-03-08,29,False
2020-03-15,5,False
2020-03-22,0,False
2020-03-29,5,False
2020-04-05,0,False
2020-04-12,0,True
