date,peinados boda,isPartial
2018-01-07,34,False
2018-01-14,17,False
2018-01-21,34,False
2018-01-28,51,False
2018-02-04,17,False
2018-02-11,42,False
2018-02-18,25,False
2018-02-25,40,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,59,False
2018-03-25,38,False
2018-04-01,17,False
2018-04-08,24,False
2018-04-15,59,False
2018-04-22,33,False
2018-04-29,59,False
2018-05-06,94,False
2018-05-13,100,False
2018-05-20,51,False
2018-05-27,98,False
2018-06-03,40,False
2018-06-10,48,False
2018-06-17,35,False
2018-06-24,43,False
2018-07-01,68,False
2018-07-08,42,False
2018-07-15,85,False
2018-07-22,51,False
2018-07-29,36,False
2018-08-05,54,False
2018-08-12,47,False
2018-08-19,47,False
2018-08-26,96,False
2018-09-02,59,False
2018-09-09,69,False
2018-09-16,24,False
2018-09-23,16,False
2018-09-30,50,False
2018-10-07,51,False
2018-10-14,49,False
2018-10-21,50,False
2018-10-28,34,False
2018-11-04,17,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,17,False
2018-12-02,0,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,0,False
2018-12-30,19,False
2019-01-06,51,False
2019-01-13,25,False
2019-01-20,0,False
2019-01-27,16,False
2019-02-03,33,False
2019-02-10,33,False
2019-02-17,16,False
2019-02-24,33,False
2019-03-03,17,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,33,False
2019-03-31,24,False
2019-04-07,33,False
2019-04-14,70,False
2019-04-21,33,False
2019-04-28,47,False
2019-05-05,71,False
2019-05-12,47,False
2019-05-19,54,False
2019-05-26,53,False
2019-06-02,54,False
2019-06-09,79,False
2019-06-16,32,False
2019-06-23,42,False
2019-06-30,82,False
2019-07-07,32,False
2019-07-14,81,False
2019-07-21,42,False
2019-07-28,44,False
2019-08-04,27,False
2019-08-11,27,False
2019-08-18,53,False
2019-08-25,58,False
2019-09-01,71,False
2019-09-08,38,False
2019-09-15,53,False
2019-09-22,83,False
2019-09-29,45,False
2019-10-06,45,False
2019-10-13,15,False
2019-10-20,37,False
2019-10-27,31,False
2019-11-03,23,False
2019-11-10,15,False
2019-11-17,15,False
2019-11-24,14,False
2019-12-01,15,False
2019-12-08,31,False
2019-12-15,15,False
2019-12-22,53,False
2019-12-29,17,False
2020-01-05,0,False
2020-01-12,14,False
2020-01-19,28,False
2020-01-26,29,False
2020-02-02,15,False
2020-02-09,15,False
2020-02-16,15,False
2020-02-23,35,False
2020-03-01,28,False
2020-03-08,28,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,46,True
