date,Hochzeitsfloristik,isPartial
2018-01-07,24,False
2018-01-14,35,False
2018-01-21,0,False
2018-01-28,23,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,36,False
2018-03-04,48,False
2018-03-11,71,False
2018-03-18,48,False
2018-03-25,51,False
2018-04-01,38,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,26,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,25,False
2018-06-03,24,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,24,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,100,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,50,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,48,False
2018-10-21,36,False
2018-10-28,36,False
2018-11-04,45,False
2018-11-11,0,False
2018-11-18,34,False
2018-11-25,47,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,38,False
2019-01-06,45,False
2019-01-13,0,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,67,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,0,False
2019-03-03,23,False
2019-03-10,45,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,46,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,34,False
2019-05-05,22,False
2019-05-12,46,False
2019-05-19,34,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,24,False
2019-06-16,23,False
2019-06-23,47,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,35,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,47,False
2019-08-18,35,False
2019-08-25,35,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,57,False
2019-09-22,45,False
2019-09-29,45,False
2019-10-06,33,False
2019-10-13,55,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,41,False
2019-11-10,21,False
2019-11-17,0,False
2019-11-24,41,False
2019-12-01,43,False
2019-12-08,21,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,57,False
2020-01-05,61,False
2020-01-12,30,False
2020-01-19,41,False
2020-01-26,30,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,41,False
2020-02-23,40,False
2020-03-01,40,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,40,False
2020-04-12,0,True
