date,Granitplatten,isPartial
2018-01-07,44,False
2018-01-14,0,False
2018-01-21,22,False
2018-01-28,33,False
2018-02-04,23,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,44,False
2018-03-04,22,False
2018-03-11,66,False
2018-03-18,30,False
2018-03-25,47,False
2018-04-01,31,False
2018-04-08,22,False
2018-04-15,45,False
2018-04-22,29,False
2018-04-29,69,False
2018-05-06,100,False
2018-05-13,29,False
2018-05-20,54,False
2018-05-27,51,False
2018-06-03,66,False
2018-06-10,50,False
2018-06-17,32,False
2018-06-24,44,False
2018-07-01,22,False
2018-07-08,28,False
2018-07-15,30,False
2018-07-22,92,False
2018-07-29,35,False
2018-08-05,82,False
2018-08-12,54,False
2018-08-19,80,False
2018-08-26,52,False
2018-09-02,30,False
2018-09-09,45,False
2018-09-16,33,False
2018-09-23,34,False
2018-09-30,79,False
2018-10-07,53,False
2018-10-14,46,False
2018-10-21,53,False
2018-10-28,81,False
2018-11-04,32,False
2018-11-11,87,False
2018-11-18,28,False
2018-11-25,64,False
2018-12-02,42,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,25,False
2018-12-30,38,False
2019-01-06,21,False
2019-01-13,20,False
2019-01-20,20,False
2019-01-27,27,False
2019-02-03,20,False
2019-02-10,63,False
2019-02-17,42,False
2019-02-24,64,False
2019-03-03,42,False
2019-03-10,30,False
2019-03-17,32,False
2019-03-24,35,False
2019-03-31,42,False
2019-04-07,32,False
2019-04-14,46,False
2019-04-21,23,False
2019-04-28,43,False
2019-05-05,41,False
2019-05-12,53,False
2019-05-19,21,False
2019-05-26,43,False
2019-06-02,49,False
2019-06-09,21,False
2019-06-16,36,False
2019-06-23,29,False
2019-06-30,49,False
2019-07-07,31,False
2019-07-14,22,False
2019-07-21,79,False
2019-07-28,46,False
2019-08-04,46,False
2019-08-11,37,False
2019-08-18,22,False
2019-08-25,35,False
2019-09-01,48,False
2019-09-08,49,False
2019-09-15,32,False
2019-09-22,28,False
2019-09-29,69,False
2019-10-06,31,False
2019-10-13,48,False
2019-10-20,31,False
2019-10-27,34,False
2019-11-03,19,False
2019-11-10,49,False
2019-11-17,0,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,23,False
2019-12-29,0,False
2020-01-05,56,False
2020-01-12,36,False
2020-01-19,19,False
2020-01-26,37,False
2020-02-02,37,False
2020-02-09,0,False
2020-02-16,47,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,34,False
2020-03-29,59,False
2020-04-05,46,False
2020-04-12,93,False
2020-04-19,40,False
2020-04-26,50,False
2020-05-03,51,False
2020-05-10,40,False
