date,Granitplatten,isPartial
2018-01-07,56,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,56,False
2018-02-04,0,False
2018-02-11,42,False
2018-02-18,28,False
2018-02-25,28,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,29,False
2018-04-01,66,False
2018-04-08,29,False
2018-04-15,58,False
2018-04-22,100,False
2018-04-29,29,False
2018-05-06,29,False
2018-05-13,0,False
2018-05-20,29,False
2018-05-27,27,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,36,False
2018-06-24,42,False
2018-07-01,29,False
2018-07-08,43,False
2018-07-15,62,False
2018-07-22,49,False
2018-07-29,56,False
2018-08-05,51,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,55,False
2018-09-30,57,False
2018-10-07,57,False
2018-10-14,45,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,0,False
2019-01-13,50,False
2019-01-20,51,False
2019-01-27,26,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,27,False
2019-03-03,26,False
2019-03-10,51,False
2019-03-17,0,False
2019-03-24,27,False
2019-03-31,40,False
2019-04-07,28,False
2019-04-14,58,False
2019-04-21,41,False
2019-04-28,39,False
2019-05-05,43,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,35,False
2019-06-02,26,False
2019-06-09,26,False
2019-06-16,52,False
2019-06-23,27,False
2019-06-30,26,False
2019-07-07,53,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,37,False
2019-08-18,26,False
2019-08-25,33,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,51,False
2019-10-06,38,False
2019-10-13,25,False
2019-10-20,76,False
2019-10-27,24,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,44,False
2020-01-19,58,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,0,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,32,False
2020-04-05,54,False
2020-04-12,33,False
2020-04-19,53,False
2020-04-26,41,False
2020-05-03,53,False
2020-05-10,28,False
