date,sposi,isPartial
2018-01-07,39,False
2018-01-14,26,False
2018-01-21,39,False
2018-01-28,26,False
2018-02-04,24,False
2018-02-11,25,False
2018-02-18,48,False
2018-02-25,23,False
2018-03-04,24,False
2018-03-11,50,False
2018-03-18,24,False
2018-03-25,54,False
2018-04-01,97,False
2018-04-08,52,False
2018-04-15,40,False
2018-04-22,26,False
2018-04-29,53,False
2018-05-06,65,False
2018-05-13,0,False
2018-05-20,38,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,25,False
2018-06-17,51,False
2018-06-24,0,False
2018-07-01,26,False
2018-07-08,38,False
2018-07-15,38,False
2018-07-22,24,False
2018-07-29,0,False
2018-08-05,24,False
2018-08-12,0,False
2018-08-19,21,False
2018-08-26,35,False
2018-09-02,24,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,69,False
2018-10-21,52,False
2018-10-28,51,False
2018-11-04,52,False
2018-11-11,27,False
2018-11-18,63,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,49,False
2019-01-13,37,False
2019-01-20,47,False
2019-01-27,96,False
2019-02-03,24,False
2019-02-10,0,False
2019-02-17,36,False
2019-02-24,37,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,79,False
2019-03-24,51,False
2019-03-31,0,False
2019-04-07,26,False
2019-04-14,26,False
2019-04-21,27,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,36,False
2019-05-19,100,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,53,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,47,False
2019-08-18,44,False
2019-08-25,67,False
2019-09-01,23,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,72,False
2019-09-29,24,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,48,False
2019-10-27,48,False
2019-11-03,33,False
2019-11-10,34,False
2019-11-17,0,False
2019-11-24,34,False
2019-12-01,23,False
2019-12-08,36,False
2019-12-15,73,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,23,False
2020-01-12,32,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,31,False
2020-02-09,43,False
2020-02-16,44,False
2020-02-23,31,False
2020-03-01,20,False
2020-03-08,46,False
2020-03-15,27,False
2020-03-22,24,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,35,False
2020-04-26,62,True
