date,Abito da sposa,isPartial
2018-01-07,6,False
2018-01-14,17,False
2018-01-21,0,False
2018-01-28,44,False
2018-02-04,27,False
2018-02-11,17,False
2018-02-18,23,False
2018-02-25,17,False
2018-03-04,11,False
2018-03-11,23,False
2018-03-18,6,False
2018-03-25,0,False
2018-04-01,19,False
2018-04-08,6,False
2018-04-15,12,False
2018-04-22,6,False
2018-04-29,18,False
2018-05-06,29,False
2018-05-13,100,False
2018-05-20,24,False
2018-05-27,6,False
2018-06-03,23,False
2018-06-10,28,False
2018-06-17,25,False
2018-06-24,6,False
2018-07-01,19,False
2018-07-08,38,False
2018-07-15,26,False
2018-07-22,7,False
2018-07-29,14,False
2018-08-05,38,False
2018-08-12,9,False
2018-08-19,16,False
2018-08-26,40,False
2018-09-02,6,False
2018-09-09,38,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,19,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,12,False
2018-10-28,18,False
2018-11-04,0,False
2018-11-11,18,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,12,False
2018-12-23,7,False
2018-12-30,13,False
2019-01-06,29,False
2019-01-13,11,False
2019-01-20,22,False
2019-01-27,27,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,22,False
2019-02-24,17,False
2019-03-03,6,False
2019-03-10,6,False
2019-03-17,11,False
2019-03-24,0,False
2019-03-31,11,False
2019-04-07,27,False
2019-04-14,11,False
2019-04-21,13,False
2019-04-28,17,False
2019-05-05,6,False
2019-05-12,28,False
2019-05-19,16,False
2019-05-26,22,False
2019-06-02,11,False
2019-06-09,16,False
2019-06-16,11,False
2019-06-23,12,False
2019-06-30,23,False
2019-07-07,6,False
2019-07-14,17,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,7,False
2019-08-11,22,False
2019-08-18,13,False
2019-08-25,12,False
2019-09-01,11,False
2019-09-08,11,False
2019-09-15,31,False
2019-09-22,11,False
2019-09-29,11,False
2019-10-06,33,False
2019-10-13,5,False
2019-10-20,10,False
2019-10-27,16,False
2019-11-03,20,False
2019-11-10,20,False
2019-11-17,5,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,6,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,9,False
2020-01-19,14,False
2020-01-26,0,False
2020-02-02,19,False
2020-02-09,5,False
2020-02-16,10,False
2020-02-23,4,False
2020-03-01,13,False
2020-03-08,4,False
2020-03-15,0,False
2020-03-22,8,False
2020-03-29,4,False
2020-04-05,0,False
2020-04-12,13,False
2020-04-19,8,False
2020-04-26,7,True
