date,Abito da sposa,isPartial
2018-01-07,23,False
2018-01-14,29,False
2018-01-21,57,False
2018-01-28,28,False
2018-02-04,33,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,26,False
2018-03-04,17,False
2018-03-11,45,False
2018-03-18,44,False
2018-03-25,12,False
2018-04-01,18,False
2018-04-08,29,False
2018-04-15,58,False
2018-04-22,37,False
2018-04-29,41,False
2018-05-06,29,False
2018-05-13,87,False
2018-05-20,57,False
2018-05-27,24,False
2018-06-03,41,False
2018-06-10,43,False
2018-06-17,22,False
2018-06-24,27,False
2018-07-01,45,False
2018-07-08,44,False
2018-07-15,28,False
2018-07-22,22,False
2018-07-29,49,False
2018-08-05,43,False
2018-08-12,24,False
2018-08-19,29,False
2018-08-26,100,False
2018-09-02,58,False
2018-09-09,45,False
2018-09-16,39,False
2018-09-23,39,False
2018-09-30,28,False
2018-10-07,66,False
2018-10-14,36,False
2018-10-21,41,False
2018-10-28,23,False
2018-11-04,17,False
2018-11-11,53,False
2018-11-18,29,False
2018-11-25,34,False
2018-12-02,12,False
2018-12-09,35,False
2018-12-16,47,False
2018-12-23,12,False
2018-12-30,45,False
2019-01-06,44,False
2019-01-13,44,False
2019-01-20,67,False
2019-01-27,41,False
2019-02-03,40,False
2019-02-10,31,False
2019-02-17,32,False
2019-02-24,42,False
2019-03-03,50,False
2019-03-10,16,False
2019-03-17,44,False
2019-03-24,37,False
2019-03-31,21,False
2019-04-07,31,False
2019-04-14,33,False
2019-04-21,22,False
2019-04-28,26,False
2019-05-05,10,False
2019-05-12,20,False
2019-05-19,41,False
2019-05-26,39,False
2019-06-02,21,False
2019-06-09,33,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,75,False
2019-07-07,20,False
2019-07-14,10,False
2019-07-21,26,False
2019-07-28,20,False
2019-08-04,31,False
2019-08-11,42,False
2019-08-18,10,False
2019-08-25,20,False
2019-09-01,39,False
2019-09-08,49,False
2019-09-15,39,False
2019-09-22,58,False
2019-09-29,35,False
2019-10-06,40,False
2019-10-13,46,False
2019-10-20,50,False
2019-10-27,25,False
2019-11-03,29,False
2019-11-10,24,False
2019-11-17,25,False
2019-11-24,19,False
2019-12-01,20,False
2019-12-08,20,False
2019-12-15,45,False
2019-12-22,21,False
2019-12-29,31,False
2020-01-05,58,False
2020-01-12,56,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,18,False
2020-02-09,23,False
2020-02-16,28,False
2020-02-23,22,False
2020-03-01,35,False
2020-03-08,16,False
2020-03-15,28,False
2020-03-22,22,False
2020-03-29,8,False
2020-04-05,20,False
2020-04-12,8,False
2020-04-19,11,False
2020-04-26,41,True
