date,Abito da sposa,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,43,False
2018-02-04,29,False
2018-02-11,29,False
2018-02-18,41,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,61,False
2018-04-01,32,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,44,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,44,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,29,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,29,False
2018-08-19,0,False
2018-08-26,68,False
2018-09-02,70,False
2018-09-09,29,False
2018-09-16,58,False
2018-09-23,44,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,57,False
2018-11-25,29,False
2018-12-02,30,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,61,False
2019-01-06,28,False
2019-01-13,27,False
2019-01-20,53,False
2019-01-27,52,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,40,False
2019-02-24,27,False
2019-03-03,0,False
2019-03-10,27,False
2019-03-17,41,False
2019-03-24,27,False
2019-03-31,0,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,37,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,41,False
2019-07-07,38,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,53,False
2019-08-04,40,False
2019-08-11,27,False
2019-08-18,51,False
2019-08-25,37,False
2019-09-01,37,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,25,False
2019-10-27,25,False
2019-11-03,0,False
2019-11-10,100,False
2019-11-17,50,False
2019-11-24,24,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,26,False
2019-12-22,29,False
2019-12-29,56,False
2020-01-05,0,False
2020-01-12,46,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,22,False
2020-03-01,43,False
2020-03-08,21,False
2020-03-15,21,False
2020-03-22,19,False
2020-03-29,20,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,39,False
2020-04-26,0,True
