date,arreglos florales,isPartial
2018-01-07,68,False
2018-01-14,34,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,70,False
2018-02-18,35,False
2018-02-25,67,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,70,False
2018-03-25,45,False
2018-04-01,0,False
2018-04-08,49,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,57,False
2018-05-06,100,False
2018-05-13,71,False
2018-05-20,0,False
2018-05-27,65,False
2018-06-03,66,False
2018-06-10,0,False
2018-06-17,36,False
2018-06-24,36,False
2018-07-01,0,False
2018-07-08,38,False
2018-07-15,61,False
2018-07-22,41,False
2018-07-29,43,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,46,False
2018-08-26,0,False
2018-09-02,36,False
2018-09-09,35,False
2018-09-16,66,False
2018-09-23,33,False
2018-09-30,67,False
2018-10-07,35,False
2018-10-14,33,False
2018-10-21,49,False
2018-10-28,0,False
2018-11-04,44,False
2018-11-11,31,False
2018-11-18,31,False
2018-11-25,45,False
2018-12-02,33,False
2018-12-09,34,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,0,False
2019-01-13,64,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,32,False
2019-02-17,0,False
2019-02-24,43,False
2019-03-03,66,False
2019-03-10,100,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,32,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,34,False
2019-05-05,59,False
2019-05-12,64,False
2019-05-19,32,False
2019-05-26,31,False
2019-06-02,46,False
2019-06-09,45,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,71,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,37,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,97,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,31,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,30,False
2019-10-20,0,False
2019-10-27,61,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,58,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,44,False
2019-12-22,36,False
2019-12-29,35,False
2020-01-05,60,False
2020-01-12,28,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,42,False
2020-02-23,28,False
2020-03-01,0,False
2020-03-08,27,False
2020-03-15,28,False
2020-03-22,27,False
2020-03-29,0,False
2020-04-05,56,False
2020-04-12,0,True
