date,arreglos florales,isPartial
2018-01-07,87,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,0,False
2018-02-04,84,False
2018-02-11,43,False
2018-02-18,43,False
2018-02-25,41,False
2018-03-04,43,False
2018-03-11,44,False
2018-03-18,43,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,42,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,42,False
2018-05-13,0,False
2018-05-20,43,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,42,False
2018-07-22,42,False
2018-07-29,43,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,44,False
2018-08-26,42,False
2018-09-02,81,False
2018-09-09,100,False
2018-09-16,41,False
2018-09-23,0,False
2018-09-30,42,False
2018-10-07,45,False
2018-10-14,80,False
2018-10-21,42,False
2018-10-28,88,False
2018-11-04,42,False
2018-11-11,0,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,67,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,50,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,42,False
2019-01-20,40,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,42,False
2019-02-17,0,False
2019-02-24,42,False
2019-03-03,42,False
2019-03-10,43,False
2019-03-17,45,False
2019-03-24,42,False
2019-03-31,0,False
2019-04-07,84,False
2019-04-14,0,False
2019-04-21,42,False
2019-04-28,41,False
2019-05-05,82,False
2019-05-12,81,False
2019-05-19,40,False
2019-05-26,60,False
2019-06-02,39,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,42,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,41,False
2019-08-04,0,False
2019-08-11,41,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,39,False
2019-09-22,39,False
2019-09-29,39,False
2019-10-06,0,False
2019-10-13,39,False
2019-10-20,56,False
2019-10-27,77,False
2019-11-03,38,False
2019-11-10,0,False
2019-11-17,37,False
2019-11-24,36,False
2019-12-01,37,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,42,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,36,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,34,False
2020-03-01,0,False
2020-03-08,34,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,32,False
2020-04-12,0,True
