date,composition de fleurs,isPartial
2018-01-07,22,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,57,False
2018-02-04,42,False
2018-02-11,72,False
2018-02-18,22,False
2018-02-25,29,False
2018-03-04,50,False
2018-03-11,29,False
2018-03-18,51,False
2018-03-25,36,False
2018-04-01,67,False
2018-04-08,72,False
2018-04-15,39,False
2018-04-22,75,False
2018-04-29,15,False
2018-05-06,54,False
2018-05-13,22,False
2018-05-20,52,False
2018-05-27,29,False
2018-06-03,43,False
2018-06-10,21,False
2018-06-17,29,False
2018-06-24,44,False
2018-07-01,36,False
2018-07-08,15,False
2018-07-15,23,False
2018-07-22,31,False
2018-07-29,24,False
2018-08-05,16,False
2018-08-12,32,False
2018-08-19,24,False
2018-08-26,38,False
2018-09-02,15,False
2018-09-09,59,False
2018-09-16,44,False
2018-09-23,30,False
2018-09-30,75,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,45,False
2018-10-28,30,False
2018-11-04,36,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,22,False
2018-12-02,29,False
2018-12-09,22,False
2018-12-16,30,False
2018-12-23,17,False
2018-12-30,32,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,21,False
2019-01-27,41,False
2019-02-03,14,False
2019-02-10,29,False
2019-02-17,45,False
2019-02-24,37,False
2019-03-03,64,False
2019-03-10,29,False
2019-03-17,15,False
2019-03-24,37,False
2019-03-31,50,False
2019-04-07,22,False
2019-04-14,45,False
2019-04-21,51,False
2019-04-28,22,False
2019-05-05,42,False
2019-05-12,50,False
2019-05-19,21,False
2019-05-26,43,False
2019-06-02,20,False
2019-06-09,21,False
2019-06-16,29,False
2019-06-23,57,False
2019-06-30,14,False
2019-07-07,100,False
2019-07-14,37,False
2019-07-21,30,False
2019-07-28,54,False
2019-08-04,31,False
2019-08-11,23,False
2019-08-18,38,False
2019-08-25,36,False
2019-09-01,41,False
2019-09-08,21,False
2019-09-15,41,False
2019-09-22,20,False
2019-09-29,33,False
2019-10-06,54,False
2019-10-13,34,False
2019-10-20,40,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,20,False
2019-11-17,26,False
2019-11-24,32,False
2019-12-01,64,False
2019-12-08,38,False
2019-12-15,46,False
2019-12-22,15,False
2019-12-29,35,False
2020-01-05,19,False
2020-01-12,25,False
2020-01-19,19,False
2020-01-26,37,False
2020-02-02,19,False
2020-02-09,31,False
2020-02-16,25,False
2020-02-23,18,False
2020-03-01,36,False
2020-03-08,24,False
2020-03-15,11,False
2020-03-22,17,False
2020-03-29,33,False
2020-04-05,56,False
2020-04-12,40,True
