date,Torantriebe,isPartial
2018-01-07,57,False
2018-01-14,0,False
2018-01-21,55,False
2018-01-28,23,False
2018-02-04,31,False
2018-02-11,46,False
2018-02-18,0,False
2018-02-25,23,False
2018-03-04,46,False
2018-03-11,30,False
2018-03-18,23,False
2018-03-25,49,False
2018-04-01,25,False
2018-04-08,40,False
2018-04-15,24,False
2018-04-22,47,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,59,False
2018-05-20,26,False
2018-05-27,51,False
2018-06-03,24,False
2018-06-10,35,False
2018-06-17,23,False
2018-06-24,35,False
2018-07-01,23,False
2018-07-08,70,False
2018-07-15,48,False
2018-07-22,24,False
2018-07-29,50,False
2018-08-05,26,False
2018-08-12,26,False
2018-08-19,39,False
2018-08-26,51,False
2018-09-02,41,False
2018-09-09,61,False
2018-09-16,24,False
2018-09-23,59,False
2018-09-30,60,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,34,False
2018-10-28,46,False
2018-11-04,67,False
2018-11-11,30,False
2018-11-18,33,False
2018-11-25,44,False
2018-12-02,22,False
2018-12-09,55,False
2018-12-16,38,False
2018-12-23,27,False
2018-12-30,49,False
2019-01-06,64,False
2019-01-13,32,False
2019-01-20,49,False
2019-01-27,35,False
2019-02-03,32,False
2019-02-10,58,False
2019-02-17,44,False
2019-02-24,22,False
2019-03-03,88,False
2019-03-10,43,False
2019-03-17,44,False
2019-03-24,22,False
2019-03-31,22,False
2019-04-07,36,False
2019-04-14,79,False
2019-04-21,46,False
2019-04-28,33,False
2019-05-05,28,False
2019-05-12,87,False
2019-05-19,28,False
2019-05-26,33,False
2019-06-02,30,False
2019-06-09,35,False
2019-06-16,23,False
2019-06-23,33,False
2019-06-30,32,False
2019-07-07,63,False
2019-07-14,22,False
2019-07-21,0,False
2019-07-28,70,False
2019-08-04,24,False
2019-08-11,35,False
2019-08-18,49,False
2019-08-25,61,False
2019-09-01,34,False
2019-09-08,33,False
2019-09-15,100,False
2019-09-22,64,False
2019-09-29,29,False
2019-10-06,21,False
2019-10-13,21,False
2019-10-20,28,False
2019-10-27,21,False
2019-11-03,40,False
2019-11-10,41,False
2019-11-17,20,False
2019-11-24,50,False
2019-12-01,62,False
2019-12-08,20,False
2019-12-15,42,False
2019-12-22,36,False
2019-12-29,23,False
2020-01-05,40,False
2020-01-12,29,False
2020-01-19,29,False
2020-01-26,38,False
2020-02-02,29,False
2020-02-09,58,False
2020-02-16,30,False
2020-02-23,26,False
2020-03-01,28,False
2020-03-08,18,False
2020-03-15,26,False
2020-03-22,34,False
2020-03-29,29,False
2020-04-05,50,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,51,False
2020-05-03,35,False
2020-05-10,26,False
