date,Torantriebe,isPartial
2018-01-07,35,False
2018-01-14,62,False
2018-01-21,42,False
2018-01-28,42,False
2018-02-04,33,False
2018-02-11,22,False
2018-02-18,21,False
2018-02-25,35,False
2018-03-04,36,False
2018-03-11,43,False
2018-03-18,36,False
2018-03-25,45,False
2018-04-01,45,False
2018-04-08,28,False
2018-04-15,44,False
2018-04-22,42,False
2018-04-29,44,False
2018-05-06,22,False
2018-05-13,28,False
2018-05-20,22,False
2018-05-27,64,False
2018-06-03,64,False
2018-06-10,71,False
2018-06-17,31,False
2018-06-24,43,False
2018-07-01,21,False
2018-07-08,41,False
2018-07-15,36,False
2018-07-22,22,False
2018-07-29,34,False
2018-08-05,22,False
2018-08-12,22,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,43,False
2018-09-09,22,False
2018-09-16,43,False
2018-09-23,0,False
2018-09-30,22,False
2018-10-07,29,False
2018-10-14,36,False
2018-10-21,22,False
2018-10-28,53,False
2018-11-04,20,False
2018-11-11,21,False
2018-11-18,54,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,62,False
2018-12-16,35,False
2018-12-23,24,False
2018-12-30,33,False
2019-01-06,20,False
2019-01-13,39,False
2019-01-20,39,False
2019-01-27,39,False
2019-02-03,59,False
2019-02-10,20,False
2019-02-17,20,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,19,False
2019-03-17,20,False
2019-03-24,20,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,22,False
2019-04-21,22,False
2019-04-28,20,False
2019-05-05,20,False
2019-05-12,0,False
2019-05-19,30,False
2019-05-26,21,False
2019-06-02,20,False
2019-06-09,20,False
2019-06-16,21,False
2019-06-23,21,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,22,False
2019-08-04,33,False
2019-08-11,21,False
2019-08-18,0,False
2019-08-25,51,False
2019-09-01,100,False
2019-09-08,31,False
2019-09-15,20,False
2019-09-22,50,False
2019-09-29,30,False
2019-10-06,29,False
2019-10-13,20,False
2019-10-20,20,False
2019-10-27,20,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,37,False
2019-11-24,18,False
2019-12-01,31,False
2019-12-08,19,False
2019-12-15,57,False
2019-12-22,22,False
2019-12-29,41,False
2020-01-05,36,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,36,False
2020-02-02,27,False
2020-02-09,34,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,17,False
2020-03-08,16,False
2020-03-15,33,False
2020-03-22,16,False
2020-03-29,24,False
2020-04-05,35,False
2020-04-12,17,False
2020-04-19,16,False
2020-04-26,24,False
2020-05-03,33,False
2020-05-10,32,False
