date,Parkettboden verlegen,isPartial
2018-01-07,33,False
2018-01-14,48,False
2018-01-21,0,False
2018-01-28,43,False
2018-02-04,100,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,65,False
2018-03-11,66,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,34,False
2018-06-03,83,False
2018-06-10,64,False
2018-06-17,49,False
2018-06-24,50,False
2018-07-01,33,False
2018-07-08,50,False
2018-07-15,68,False
2018-07-22,51,False
2018-07-29,34,False
2018-08-05,68,False
2018-08-12,35,False
2018-08-19,51,False
2018-08-26,68,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,55,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,33,False
2018-10-28,64,False
2018-11-04,47,False
2018-11-11,33,False
2018-11-18,47,False
2018-11-25,33,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,76,False
2018-12-30,46,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,45,False
2019-02-03,46,False
2019-02-10,42,False
2019-02-17,31,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,41,False
2019-03-17,48,False
2019-03-24,32,False
2019-03-31,48,False
2019-04-07,62,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,91,False
2019-05-12,31,False
2019-05-19,31,False
2019-05-26,64,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,64,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,78,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,67,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,42,False
2019-09-22,61,False
2019-09-29,51,False
2019-10-06,31,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,29,False
2019-11-10,44,False
2019-11-17,59,False
2019-11-24,58,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,45,False
2019-12-29,32,False
2020-01-05,56,False
2020-01-12,54,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,28,False
2020-02-09,81,False
2020-02-16,28,False
2020-02-23,28,False
2020-03-01,54,False
2020-03-08,25,False
2020-03-15,100,False
2020-03-22,25,False
2020-03-29,41,False
2020-04-05,27,False
2020-04-12,26,False
2020-04-19,51,False
2020-04-26,49,False
2020-05-03,25,False
2020-05-10,38,False
