date,peintre artisan,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,0,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,34,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,35,False
2018-05-20,36,False
2018-05-27,33,False
2018-06-03,33,False
2018-06-10,0,False
2018-06-17,34,False
2018-06-24,35,False
2018-07-01,33,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,35,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,0,False
2018-09-09,68,False
2018-09-16,0,False
2018-09-23,52,False
2018-09-30,34,False
2018-10-07,69,False
2018-10-14,35,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,33,False
2018-11-11,68,False
2018-11-18,0,False
2018-11-25,33,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,34,False
2019-01-13,34,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,33,False
2019-02-10,35,False
2019-02-17,35,False
2019-02-24,34,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,35,False
2019-03-24,0,False
2019-03-31,68,False
2019-04-07,0,False
2019-04-14,35,False
2019-04-21,33,False
2019-04-28,32,False
2019-05-05,65,False
2019-05-12,68,False
2019-05-19,0,False
2019-05-26,66,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,33,False
2019-06-23,32,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,31,False
2019-08-11,89,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,41,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,28,False
2019-11-03,44,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,63,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,28,False
2020-01-19,0,False
2020-01-26,42,False
2020-02-02,29,False
2020-02-09,42,False
2020-02-16,42,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,40,False
2020-03-15,71,False
2020-03-22,34,False
2020-03-29,46,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,47,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,24,False
2020-05-17,61,True
