date,atelier anglais,isPartial
2018-01-07,49,False
2018-01-14,37,False
2018-01-21,61,False
2018-01-28,62,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,44,False
2018-02-25,53,False
2018-03-04,38,False
2018-03-11,51,False
2018-03-18,26,False
2018-03-25,59,False
2018-04-01,39,False
2018-04-08,59,False
2018-04-15,41,False
2018-04-22,27,False
2018-04-29,35,False
2018-05-06,37,False
2018-05-13,100,False
2018-05-20,60,False
2018-05-27,57,False
2018-06-03,41,False
2018-06-10,36,False
2018-06-17,41,False
2018-06-24,33,False
2018-07-01,24,False
2018-07-08,35,False
2018-07-15,42,False
2018-07-22,28,False
2018-07-29,89,False
2018-08-05,62,False
2018-08-12,33,False
2018-08-19,30,False
2018-08-26,68,False
2018-09-02,42,False
2018-09-09,49,False
2018-09-16,25,False
2018-09-23,58,False
2018-09-30,50,False
2018-10-07,25,False
2018-10-14,63,False
2018-10-21,24,False
2018-10-28,53,False
2018-11-04,49,False
2018-11-11,31,False
2018-11-18,24,False
2018-11-25,50,False
2018-12-02,74,False
2018-12-09,25,False
2018-12-16,34,False
2018-12-23,31,False
2018-12-30,58,False
2019-01-06,37,False
2019-01-13,75,False
2019-01-20,72,False
2019-01-27,36,False
2019-02-03,23,False
2019-02-10,50,False
2019-02-17,41,False
2019-02-24,51,False
2019-03-03,37,False
2019-03-10,50,False
2019-03-17,34,False
2019-03-24,44,False
2019-03-31,51,False
2019-04-07,35,False
2019-04-14,27,False
2019-04-21,42,False
2019-04-28,46,False
2019-05-05,45,False
2019-05-12,35,False
2019-05-19,43,False
2019-05-26,0,False
2019-06-02,47,False
2019-06-09,79,False
2019-06-16,39,False
2019-06-23,53,False
2019-06-30,53,False
2019-07-07,45,False
2019-07-14,57,False
2019-07-21,90,False
2019-07-28,32,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,44,False
2019-08-25,87,False
2019-09-01,26,False
2019-09-08,85,False
2019-09-15,38,False
2019-09-22,33,False
2019-09-29,81,False
2019-10-06,25,False
2019-10-13,42,False
2019-10-20,51,False
2019-10-27,79,False
2019-11-03,36,False
2019-11-10,25,False
2019-11-17,58,False
2019-11-24,36,False
2019-12-01,47,False
2019-12-08,48,False
2019-12-15,25,False
2019-12-22,30,False
2019-12-29,57,False
2020-01-05,36,False
2020-01-12,24,False
2020-01-19,41,False
2020-01-26,56,False
2020-02-02,48,False
2020-02-09,41,False
2020-02-16,25,False
2020-02-23,59,False
2020-03-01,46,False
2020-03-08,53,False
2020-03-15,49,False
2020-03-22,25,False
2020-03-29,24,False
2020-04-05,49,False
2020-04-12,50,False
2020-04-19,48,False
2020-04-26,23,False
2020-05-03,0,False
2020-05-10,24,False
2020-05-17,29,True
