date,Anzug für Hochzeit,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,43,False
2018-01-28,21,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,44,False
2018-02-25,53,False
2018-03-04,22,False
2018-03-11,43,False
2018-03-18,43,False
2018-03-25,23,False
2018-04-01,0,False
2018-04-08,22,False
2018-04-15,23,False
2018-04-22,22,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,54,False
2018-05-20,92,False
2018-05-27,22,False
2018-06-03,66,False
2018-06-10,42,False
2018-06-17,32,False
2018-06-24,33,False
2018-07-01,43,False
2018-07-08,22,False
2018-07-15,0,False
2018-07-22,23,False
2018-07-29,22,False
2018-08-05,34,False
2018-08-12,23,False
2018-08-19,0,False
2018-08-26,45,False
2018-09-02,22,False
2018-09-09,22,False
2018-09-16,22,False
2018-09-23,44,False
2018-09-30,22,False
2018-10-07,22,False
2018-10-14,66,False
2018-10-21,21,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,21,False
2018-11-18,0,False
2018-11-25,42,False
2018-12-02,42,False
2018-12-09,32,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,20,False
2019-01-13,30,False
2019-01-20,20,False
2019-01-27,20,False
2019-02-03,20,False
2019-02-10,41,False
2019-02-17,31,False
2019-02-24,21,False
2019-03-03,41,False
2019-03-10,100,False
2019-03-17,53,False
2019-03-24,42,False
2019-03-31,31,False
2019-04-07,20,False
2019-04-14,23,False
2019-04-21,22,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,0,False
2019-05-19,62,False
2019-05-26,0,False
2019-06-02,20,False
2019-06-09,32,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,21,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,22,False
2019-08-04,45,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,42,False
2019-09-01,21,False
2019-09-08,21,False
2019-09-15,21,False
2019-09-22,20,False
2019-09-29,31,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,0,False
2019-10-27,19,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,58,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,19,False
2020-01-26,37,False
2020-02-02,18,False
2020-02-09,36,False
2020-02-16,37,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,50,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,65,True
