date,Holzbau Zimmerei,isPartial
2018-01-07,0,False
2018-01-14,60,False
2018-01-21,0,False
2018-01-28,40,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,81,False
2018-02-25,40,False
2018-03-04,41,False
2018-03-11,0,False
2018-03-18,41,False
2018-03-25,87,False
2018-04-01,87,False
2018-04-08,41,False
2018-04-15,42,False
2018-04-22,100,False
2018-04-29,42,False
2018-05-06,43,False
2018-05-13,0,False
2018-05-20,43,False
2018-05-27,81,False
2018-06-03,0,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,0,False
2018-07-22,85,False
2018-07-29,43,False
2018-08-05,43,False
2018-08-12,64,False
2018-08-19,42,False
2018-08-26,0,False
2018-09-02,41,False
2018-09-09,82,False
2018-09-16,82,False
2018-09-23,41,False
2018-09-30,42,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,81,False
2018-11-04,78,False
2018-11-11,40,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,41,False
2018-12-23,69,False
2018-12-30,84,False
2019-01-06,76,False
2019-01-13,94,False
2019-01-20,38,False
2019-01-27,74,False
2019-02-03,37,False
2019-02-10,0,False
2019-02-17,39,False
2019-02-24,0,False
2019-03-03,76,False
2019-03-10,37,False
2019-03-17,39,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,39,False
2019-04-14,42,False
2019-04-21,41,False
2019-04-28,39,False
2019-05-05,38,False
2019-05-12,39,False
2019-05-19,58,False
2019-05-26,39,False
2019-06-02,38,False
2019-06-09,79,False
2019-06-16,39,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,51,False
2019-07-14,41,False
2019-07-21,0,False
2019-07-28,42,False
2019-08-04,0,False
2019-08-11,41,False
2019-08-18,41,False
2019-08-25,39,False
2019-09-01,38,False
2019-09-08,39,False
2019-09-15,78,False
2019-09-22,38,False
2019-09-29,38,False
2019-10-06,38,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,37,False
2019-11-03,71,False
2019-11-10,36,False
2019-11-17,53,False
2019-11-24,35,False
2019-12-01,35,False
2019-12-08,0,False
2019-12-15,72,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,35,False
2020-01-12,33,False
2020-01-19,69,False
2020-01-26,45,False
2020-02-02,67,False
2020-02-09,33,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,0,False
2020-03-08,31,False
2020-03-15,62,False
2020-03-22,62,False
2020-03-29,31,False
2020-04-05,33,False
2020-04-12,32,False
2020-04-19,63,False
2020-04-26,31,False
2020-05-03,31,False
2020-05-10,31,False
