date,Holzbau Zimmerei,isPartial
2018-01-07,52,False
2018-01-14,34,False
2018-01-21,34,False
2018-01-28,87,False
2018-02-04,53,False
2018-02-11,71,False
2018-02-18,35,False
2018-02-25,47,False
2018-03-04,0,False
2018-03-11,46,False
2018-03-18,71,False
2018-03-25,57,False
2018-04-01,38,False
2018-04-08,91,False
2018-04-15,37,False
2018-04-22,36,False
2018-04-29,50,False
2018-05-06,75,False
2018-05-13,36,False
2018-05-20,39,False
2018-05-27,39,False
2018-06-03,98,False
2018-06-10,35,False
2018-06-17,36,False
2018-06-24,54,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,73,False
2018-07-29,38,False
2018-08-05,39,False
2018-08-12,66,False
2018-08-19,100,False
2018-08-26,79,False
2018-09-02,56,False
2018-09-09,74,False
2018-09-16,72,False
2018-09-23,36,False
2018-09-30,0,False
2018-10-07,71,False
2018-10-14,36,False
2018-10-21,69,False
2018-10-28,47,False
2018-11-04,0,False
2018-11-11,51,False
2018-11-18,0,False
2018-11-25,34,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,65,False
2019-01-13,65,False
2019-01-20,54,False
2019-01-27,75,False
2019-02-03,86,False
2019-02-10,44,False
2019-02-17,44,False
2019-02-24,57,False
2019-03-03,34,False
2019-03-10,65,False
2019-03-17,84,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,53,False
2019-04-28,50,False
2019-05-05,48,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,51,False
2019-06-02,68,False
2019-06-09,0,False
2019-06-16,35,False
2019-06-23,34,False
2019-06-30,88,False
2019-07-07,54,False
2019-07-14,67,False
2019-07-21,0,False
2019-07-28,35,False
2019-08-04,75,False
2019-08-11,53,False
2019-08-18,74,False
2019-08-25,37,False
2019-09-01,81,False
2019-09-08,51,False
2019-09-15,51,False
2019-09-22,54,False
2019-09-29,55,False
2019-10-06,64,False
2019-10-13,79,False
2019-10-20,32,False
2019-10-27,47,False
2019-11-03,51,False
2019-11-10,63,False
2019-11-17,51,False
2019-11-24,30,False
2019-12-01,32,False
2019-12-08,92,False
2019-12-15,0,False
2019-12-22,36,False
2019-12-29,35,False
2020-01-05,41,False
2020-01-12,73,False
2020-01-19,30,False
2020-01-26,59,False
2020-02-02,49,False
2020-02-09,88,False
2020-02-16,46,False
2020-02-23,59,False
2020-03-01,38,False
2020-03-08,54,False
2020-03-15,53,False
2020-03-22,35,False
2020-03-29,79,False
2020-04-05,29,False
2020-04-12,28,False
2020-04-19,36,False
2020-04-26,52,False
2020-05-03,53,False
2020-05-10,52,False
