date,Trockenbau,isPartial
2018-01-07,30,False
2018-01-14,44,False
2018-01-21,54,False
2018-01-28,29,False
2018-02-04,44,False
2018-02-11,43,False
2018-02-18,64,False
2018-02-25,64,False
2018-03-04,44,False
2018-03-11,66,False
2018-03-18,57,False
2018-03-25,38,False
2018-04-01,82,False
2018-04-08,29,False
2018-04-15,23,False
2018-04-22,43,False
2018-04-29,35,False
2018-05-06,75,False
2018-05-13,75,False
2018-05-20,57,False
2018-05-27,44,False
2018-06-03,44,False
2018-06-10,53,False
2018-06-17,65,False
2018-06-24,83,False
2018-07-01,45,False
2018-07-08,46,False
2018-07-15,41,False
2018-07-22,25,False
2018-07-29,32,False
2018-08-05,23,False
2018-08-12,52,False
2018-08-19,61,False
2018-08-26,38,False
2018-09-02,46,False
2018-09-09,34,False
2018-09-16,45,False
2018-09-23,34,False
2018-09-30,25,False
2018-10-07,48,False
2018-10-14,22,False
2018-10-21,50,False
2018-10-28,66,False
2018-11-04,63,False
2018-11-11,72,False
2018-11-18,28,False
2018-11-25,29,False
2018-12-02,42,False
2018-12-09,32,False
2018-12-16,54,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,55,False
2019-01-13,51,False
2019-01-20,34,False
2019-01-27,62,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,28,False
2019-02-24,21,False
2019-03-03,22,False
2019-03-10,43,False
2019-03-17,36,False
2019-03-24,44,False
2019-03-31,44,False
2019-04-07,33,False
2019-04-14,59,False
2019-04-21,47,False
2019-04-28,33,False
2019-05-05,49,False
2019-05-12,38,False
2019-05-19,100,False
2019-05-26,57,False
2019-06-02,34,False
2019-06-09,35,False
2019-06-16,32,False
2019-06-23,36,False
2019-06-30,0,False
2019-07-07,62,False
2019-07-14,26,False
2019-07-21,56,False
2019-07-28,26,False
2019-08-04,24,False
2019-08-11,46,False
2019-08-18,40,False
2019-08-25,64,False
2019-09-01,30,False
2019-09-08,35,False
2019-09-15,23,False
2019-09-22,29,False
2019-09-29,36,False
2019-10-06,39,False
2019-10-13,36,False
2019-10-20,30,False
2019-10-27,33,False
2019-11-03,35,False
2019-11-10,77,False
2019-11-17,59,False
2019-11-24,83,False
2019-12-01,44,False
2019-12-08,68,False
2019-12-15,69,False
2019-12-22,0,False
2019-12-29,53,False
2020-01-05,41,False
2020-01-12,0,False
2020-01-19,33,False
2020-01-26,40,False
2020-02-02,69,False
2020-02-09,29,False
2020-02-16,42,False
2020-02-23,23,False
2020-03-01,38,False
2020-03-08,36,False
2020-03-15,41,False
2020-03-22,25,False
2020-03-29,43,False
2020-04-05,35,False
2020-04-12,28,False
2020-04-19,50,False
2020-04-26,54,False
2020-05-03,32,False
2020-05-10,49,False
