date,Trockenbau,isPartial
2018-01-07,53,False
2018-01-14,64,False
2018-01-21,77,False
2018-01-28,58,False
2018-02-04,75,False
2018-02-11,62,False
2018-02-18,73,False
2018-02-25,53,False
2018-03-04,69,False
2018-03-11,74,False
2018-03-18,74,False
2018-03-25,55,False
2018-04-01,46,False
2018-04-08,47,False
2018-04-15,46,False
2018-04-22,33,False
2018-04-29,37,False
2018-05-06,36,False
2018-05-13,40,False
2018-05-20,36,False
2018-05-27,27,False
2018-06-03,68,False
2018-06-10,58,False
2018-06-17,41,False
2018-06-24,49,False
2018-07-01,49,False
2018-07-08,64,False
2018-07-15,55,False
2018-07-22,62,False
2018-07-29,67,False
2018-08-05,35,False
2018-08-12,42,False
2018-08-19,76,False
2018-08-26,60,False
2018-09-02,62,False
2018-09-09,57,False
2018-09-16,43,False
2018-09-23,78,False
2018-09-30,73,False
2018-10-07,100,False
2018-10-14,48,False
2018-10-21,78,False
2018-10-28,58,False
2018-11-04,68,False
2018-11-11,68,False
2018-11-18,73,False
2018-11-25,62,False
2018-12-02,62,False
2018-12-09,59,False
2018-12-16,48,False
2018-12-23,49,False
2018-12-30,57,False
2019-01-06,64,False
2019-01-13,76,False
2019-01-20,91,False
2019-01-27,85,False
2019-02-03,75,False
2019-02-10,64,False
2019-02-17,61,False
2019-02-24,54,False
2019-03-03,83,False
2019-03-10,69,False
2019-03-17,55,False
2019-03-24,81,False
2019-03-31,47,False
2019-04-07,34,False
2019-04-14,48,False
2019-04-21,60,False
2019-04-28,40,False
2019-05-05,54,False
2019-05-12,67,False
2019-05-19,77,False
2019-05-26,63,False
2019-06-02,77,False
2019-06-09,51,False
2019-06-16,55,False
2019-06-23,73,False
2019-06-30,47,False
2019-07-07,52,False
2019-07-14,39,False
2019-07-21,34,False
2019-07-28,34,False
2019-08-04,35,False
2019-08-11,47,False
2019-08-18,72,False
2019-08-25,47,False
2019-09-01,46,False
2019-09-08,56,False
2019-09-15,46,False
2019-09-22,70,False
2019-09-29,50,False
2019-10-06,44,False
2019-10-13,74,False
2019-10-20,79,False
2019-10-27,52,False
2019-11-03,89,False
2019-11-10,70,False
2019-11-17,71,False
2019-11-24,69,False
2019-12-01,100,False
2019-12-08,70,False
2019-12-15,62,False
2019-12-22,35,False
2019-12-29,33,False
2020-01-05,53,False
2020-01-12,77,False
2020-01-19,66,False
2020-01-26,57,False
2020-02-02,72,False
2020-02-09,75,False
2020-02-16,69,False
2020-02-23,97,False
2020-03-01,47,False
2020-03-08,63,False
2020-03-15,30,False
2020-03-22,44,False
2020-03-29,60,False
2020-04-05,49,False
2020-04-12,39,False
2020-04-19,80,False
2020-04-26,61,False
2020-05-03,68,False
2020-05-10,66,False
