date,Partyraum,isPartial
2018-01-07,50,False
2018-01-14,86,False
2018-01-21,43,False
2018-01-28,62,False
2018-02-04,35,False
2018-02-11,39,False
2018-02-18,35,False
2018-02-25,26,False
2018-03-04,43,False
2018-03-11,25,False
2018-03-18,51,False
2018-03-25,27,False
2018-04-01,55,False
2018-04-08,26,False
2018-04-15,66,False
2018-04-22,64,False
2018-04-29,45,False
2018-05-06,53,False
2018-05-13,37,False
2018-05-20,26,False
2018-05-27,50,False
2018-06-03,39,False
2018-06-10,49,False
2018-06-17,62,False
2018-06-24,25,False
2018-07-01,78,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,62,False
2018-07-29,26,False
2018-08-05,33,False
2018-08-12,49,False
2018-08-19,25,False
2018-08-26,50,False
2018-09-02,50,False
2018-09-09,75,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,51,False
2018-10-07,53,False
2018-10-14,51,False
2018-10-21,72,False
2018-10-28,36,False
2018-11-04,24,False
2018-11-11,49,False
2018-11-18,40,False
2018-11-25,49,False
2018-12-02,36,False
2018-12-09,57,False
2018-12-16,50,False
2018-12-23,56,False
2018-12-30,51,False
2019-01-06,47,False
2019-01-13,61,False
2019-01-20,100,False
2019-01-27,38,False
2019-02-03,62,False
2019-02-10,47,False
2019-02-17,67,False
2019-02-24,33,False
2019-03-03,35,False
2019-03-10,47,False
2019-03-17,82,False
2019-03-24,36,False
2019-03-31,33,False
2019-04-07,36,False
2019-04-14,43,False
2019-04-21,52,False
2019-04-28,46,False
2019-05-05,46,False
2019-05-12,36,False
2019-05-19,23,False
2019-05-26,49,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,47,False
2019-06-23,0,False
2019-06-30,48,False
2019-07-07,49,False
2019-07-14,26,False
2019-07-21,54,False
2019-07-28,50,False
2019-08-04,25,False
2019-08-11,33,False
2019-08-18,41,False
2019-08-25,39,False
2019-09-01,58,False
2019-09-08,48,False
2019-09-15,48,False
2019-09-22,59,False
2019-09-29,83,False
2019-10-06,23,False
2019-10-13,40,False
2019-10-20,96,False
2019-10-27,59,False
2019-11-03,75,False
2019-11-10,52,False
2019-11-17,55,False
2019-11-24,36,False
2019-12-01,45,False
2019-12-08,22,False
2019-12-15,33,False
2019-12-22,58,False
2019-12-29,23,False
2020-01-05,70,False
2020-01-12,55,False
2020-01-19,70,False
2020-01-26,69,False
2020-02-02,52,False
2020-02-09,44,False
2020-02-16,79,False
2020-02-23,27,False
2020-03-01,52,False
2020-03-08,59,False
2020-03-15,44,False
2020-03-22,19,False
2020-03-29,37,False
2020-04-05,20,False
2020-04-12,20,False
2020-04-19,0,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,19,False
2020-05-17,0,True
