date,panneau photovoltaique,isPartial
2018-01-07,31,False
2018-01-14,46,False
2018-01-21,62,False
2018-01-28,42,False
2018-02-04,48,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,31,False
2018-03-04,47,False
2018-03-11,32,False
2018-03-18,48,False
2018-03-25,63,False
2018-04-01,50,False
2018-04-08,32,False
2018-04-15,34,False
2018-04-22,94,False
2018-04-29,30,False
2018-05-06,31,False
2018-05-13,63,False
2018-05-20,32,False
2018-05-27,82,False
2018-06-03,31,False
2018-06-10,29,False
2018-06-17,62,False
2018-06-24,0,False
2018-07-01,59,False
2018-07-08,40,False
2018-07-15,92,False
2018-07-22,31,False
2018-07-29,30,False
2018-08-05,28,False
2018-08-12,29,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,77,False
2018-09-09,31,False
2018-09-16,52,False
2018-09-23,42,False
2018-09-30,48,False
2018-10-07,0,False
2018-10-14,43,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,92,False
2018-11-25,31,False
2018-12-02,42,False
2018-12-09,42,False
2018-12-16,48,False
2018-12-23,36,False
2018-12-30,34,False
2019-01-06,42,False
2019-01-13,31,False
2019-01-20,30,False
2019-01-27,40,False
2019-02-03,52,False
2019-02-10,100,False
2019-02-17,33,False
2019-02-24,35,False
2019-03-03,32,False
2019-03-10,73,False
2019-03-17,43,False
2019-03-24,41,False
2019-03-31,83,False
2019-04-07,64,False
2019-04-14,85,False
2019-04-21,28,False
2019-04-28,61,False
2019-05-05,26,False
2019-05-12,39,False
2019-05-19,65,False
2019-05-26,53,False
2019-06-02,32,False
2019-06-09,33,False
2019-06-16,26,False
2019-06-23,52,False
2019-06-30,25,False
2019-07-07,49,False
2019-07-14,37,False
2019-07-21,53,False
2019-07-28,27,False
2019-08-04,53,False
2019-08-11,25,False
2019-08-18,27,False
2019-08-25,25,False
2019-09-01,26,False
2019-09-08,34,False
2019-09-15,48,False
2019-09-22,24,False
2019-09-29,48,False
2019-10-06,34,False
2019-10-13,38,False
2019-10-20,52,False
2019-10-27,50,False
2019-11-03,23,False
2019-11-10,49,False
2019-11-17,52,False
2019-11-24,33,False
2019-12-01,39,False
2019-12-08,42,False
2019-12-15,50,False
2019-12-22,84,False
2019-12-29,26,False
2020-01-05,96,False
2020-01-12,62,False
2020-01-19,36,False
2020-01-26,63,False
2020-02-02,49,False
2020-02-09,72,False
2020-02-16,64,False
2020-02-23,24,False
2020-03-01,47,False
2020-03-08,23,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,21,False
2020-04-05,21,False
2020-04-12,32,False
2020-04-19,32,False
2020-04-26,20,False
2020-05-03,31,False
2020-05-10,64,False
2020-05-17,27,True
