date,panneau photovoltaique,isPartial
2018-01-07,61,False
2018-01-14,61,False
2018-01-21,31,False
2018-01-28,61,False
2018-02-04,31,False
2018-02-11,62,False
2018-02-18,93,False
2018-02-25,31,False
2018-03-04,61,False
2018-03-11,75,False
2018-03-18,30,False
2018-03-25,40,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,65,False
2018-04-22,31,False
2018-04-29,32,False
2018-05-06,33,False
2018-05-13,0,False
2018-05-20,31,False
2018-05-27,45,False
2018-06-03,30,False
2018-06-10,59,False
2018-06-17,31,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,48,False
2018-07-15,34,False
2018-07-22,35,False
2018-07-29,35,False
2018-08-05,53,False
2018-08-12,72,False
2018-08-19,35,False
2018-08-26,32,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,61,False
2018-09-23,0,False
2018-09-30,31,False
2018-10-07,63,False
2018-10-14,31,False
2018-10-21,32,False
2018-10-28,31,False
2018-11-04,40,False
2018-11-11,30,False
2018-11-18,30,False
2018-11-25,29,False
2018-12-02,60,False
2018-12-09,31,False
2018-12-16,31,False
2018-12-23,35,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,58,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,58,False
2019-02-10,46,False
2019-02-17,78,False
2019-02-24,0,False
2019-03-03,43,False
2019-03-10,59,False
2019-03-17,30,False
2019-03-24,51,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,80,False
2019-04-21,29,False
2019-04-28,52,False
2019-05-05,38,False
2019-05-12,35,False
2019-05-19,26,False
2019-05-26,52,False
2019-06-02,50,False
2019-06-09,27,False
2019-06-16,28,False
2019-06-23,56,False
2019-06-30,27,False
2019-07-07,0,False
2019-07-14,43,False
2019-07-21,44,False
2019-07-28,29,False
2019-08-04,63,False
2019-08-11,33,False
2019-08-18,100,False
2019-08-25,0,False
2019-09-01,57,False
2019-09-08,40,False
2019-09-15,30,False
2019-09-22,39,False
2019-09-29,37,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,25,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,40,False
2019-11-24,46,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,67,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,48,False
2020-01-12,34,False
2020-01-19,47,False
2020-01-26,62,False
2020-02-02,46,False
2020-02-09,46,False
2020-02-16,24,False
2020-02-23,72,False
2020-03-01,40,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,31,False
2020-04-05,28,False
2020-04-12,21,False
2020-04-19,42,False
2020-04-26,39,False
2020-05-03,30,False
2020-05-10,28,False
2020-05-17,26,True
