date,panneau photovoltaique,isPartial
2018-01-07,48,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,0,False
2018-03-18,25,False
2018-03-25,25,False
2018-04-01,25,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,35,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,38,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,0,False
2018-09-16,26,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,51,False
2018-11-04,25,False
2018-11-11,34,False
2018-11-18,50,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,51,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,0,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,26,False
2019-02-24,51,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,0,False
2019-03-24,52,False
2019-03-31,25,False
2019-04-07,100,False
2019-04-14,53,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,25,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,26,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,41,False
2019-08-04,28,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,0,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,42,False
2020-02-16,31,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,18,False
2020-03-22,17,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,33,False
2020-05-03,34,False
2020-05-10,0,False
2020-05-17,0,True
