date,formation yoga,isPartial
2018-01-07,56,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,24,False
2018-02-04,23,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,45,False
2018-03-04,23,False
2018-03-11,0,False
2018-03-18,49,False
2018-03-25,24,False
2018-04-01,100,False
2018-04-08,25,False
2018-04-15,27,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,35,False
2018-05-13,24,False
2018-05-20,52,False
2018-05-27,0,False
2018-06-03,75,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,55,False
2018-08-12,0,False
2018-08-19,54,False
2018-08-26,38,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,26,False
2018-09-23,42,False
2018-09-30,51,False
2018-10-07,25,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,50,False
2018-11-18,72,False
2018-11-25,37,False
2018-12-02,49,False
2018-12-09,25,False
2018-12-16,76,False
2018-12-23,42,False
2018-12-30,51,False
2019-01-06,36,False
2019-01-13,36,False
2019-01-20,23,False
2019-01-27,69,False
2019-02-03,35,False
2019-02-10,24,False
2019-02-17,62,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,35,False
2019-03-17,50,False
2019-03-24,47,False
2019-03-31,23,False
2019-04-07,34,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,38,False
2019-05-05,22,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,97,False
2019-06-02,34,False
2019-06-09,44,False
2019-06-16,0,False
2019-06-23,47,False
2019-06-30,23,False
2019-07-07,0,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,37,False
2019-08-04,37,False
2019-08-11,26,False
2019-08-18,66,False
2019-08-25,57,False
2019-09-01,22,False
2019-09-08,22,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,30,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,32,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,41,False
2019-12-01,41,False
2019-12-08,34,False
2019-12-15,28,False
2019-12-22,34,False
2019-12-29,33,False
2020-01-05,31,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,30,False
2020-02-09,20,False
2020-02-16,19,False
2020-02-23,29,False
2020-03-01,19,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,30,False
2020-04-05,0,False
2020-04-12,27,False
2020-04-19,46,False
2020-04-26,23,False
2020-05-03,35,False
2020-05-10,36,False
2020-05-17,39,False
2020-05-24,19,False
2020-05-31,28,False
2020-06-07,30,False
2020-06-14,26,False
2020-06-21,0,True
