date,formation yoga,isPartial
2018-01-07,37,False
2018-01-14,46,False
2018-01-21,18,False
2018-01-28,55,False
2018-02-04,28,False
2018-02-11,38,False
2018-02-18,49,False
2018-02-25,29,False
2018-03-04,19,False
2018-03-11,75,False
2018-03-18,29,False
2018-03-25,58,False
2018-04-01,29,False
2018-04-08,0,False
2018-04-15,20,False
2018-04-22,59,False
2018-04-29,19,False
2018-05-06,20,False
2018-05-13,38,False
2018-05-20,19,False
2018-05-27,18,False
2018-06-03,27,False
2018-06-10,27,False
2018-06-17,73,False
2018-06-24,28,False
2018-07-01,36,False
2018-07-08,19,False
2018-07-15,52,False
2018-07-22,43,False
2018-07-29,22,False
2018-08-05,0,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,40,False
2018-09-02,57,False
2018-09-09,55,False
2018-09-16,74,False
2018-09-23,19,False
2018-09-30,56,False
2018-10-07,37,False
2018-10-14,18,False
2018-10-21,18,False
2018-10-28,0,False
2018-11-04,18,False
2018-11-11,45,False
2018-11-18,18,False
2018-11-25,28,False
2018-12-02,37,False
2018-12-09,19,False
2018-12-16,67,False
2018-12-23,24,False
2018-12-30,32,False
2019-01-06,56,False
2019-01-13,56,False
2019-01-20,63,False
2019-01-27,18,False
2019-02-03,35,False
2019-02-10,46,False
2019-02-17,18,False
2019-02-24,38,False
2019-03-03,46,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,39,False
2019-04-14,60,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,20,False
2019-05-12,59,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,18,False
2019-06-09,39,False
2019-06-16,58,False
2019-06-23,19,False
2019-06-30,39,False
2019-07-07,40,False
2019-07-14,53,False
2019-07-21,34,False
2019-07-28,47,False
2019-08-04,100,False
2019-08-11,39,False
2019-08-18,49,False
2019-08-25,43,False
2019-09-01,29,False
2019-09-08,95,False
2019-09-15,38,False
2019-09-22,74,False
2019-09-29,27,False
2019-10-06,38,False
2019-10-13,37,False
2019-10-20,29,False
2019-10-27,39,False
2019-11-03,54,False
2019-11-10,38,False
2019-11-17,19,False
2019-11-24,45,False
2019-12-01,35,False
2019-12-08,18,False
2019-12-15,38,False
2019-12-22,45,False
2019-12-29,74,False
2020-01-05,54,False
2020-01-12,54,False
2020-01-19,37,False
2020-01-26,80,False
2020-02-02,45,False
2020-02-09,18,False
2020-02-16,47,False
2020-02-23,35,False
2020-03-01,26,False
2020-03-08,42,False
2020-03-15,36,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,27,False
2020-04-12,47,False
2020-04-19,63,False
2020-04-26,35,False
2020-05-03,77,False
2020-05-10,36,False
2020-05-17,18,False
2020-05-24,27,False
2020-05-31,42,False
2020-06-07,34,False
2020-06-14,53,False
2020-06-21,65,True
