date,traiteur anniversaire,isPartial
2018-01-07,100,False
2018-01-14,50,False
2018-01-21,59,False
2018-01-28,50,False
2018-02-04,20,False
2018-02-11,60,False
2018-02-18,32,False
2018-02-25,21,False
2018-03-04,61,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,21,False
2018-04-01,21,False
2018-04-08,20,False
2018-04-15,22,False
2018-04-22,43,False
2018-04-29,42,False
2018-05-06,0,False
2018-05-13,40,False
2018-05-20,62,False
2018-05-27,40,False
2018-06-03,20,False
2018-06-10,38,False
2018-06-17,39,False
2018-06-24,0,False
2018-07-01,20,False
2018-07-08,21,False
2018-07-15,23,False
2018-07-22,47,False
2018-07-29,24,False
2018-08-05,25,False
2018-08-12,52,False
2018-08-19,24,False
2018-08-26,44,False
2018-09-02,42,False
2018-09-09,40,False
2018-09-16,0,False
2018-09-23,50,False
2018-09-30,60,False
2018-10-07,40,False
2018-10-14,38,False
2018-10-21,20,False
2018-10-28,43,False
2018-11-04,20,False
2018-11-11,38,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,30,False
2018-12-09,20,False
2018-12-16,21,False
2018-12-23,50,False
2018-12-30,35,False
2019-01-06,71,False
2019-01-13,50,False
2019-01-20,78,False
2019-01-27,29,False
2019-02-03,19,False
2019-02-10,39,False
2019-02-17,30,False
2019-02-24,31,False
2019-03-03,50,False
2019-03-10,0,False
2019-03-17,20,False
2019-03-24,53,False
2019-03-31,41,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,46,False
2019-04-28,45,False
2019-05-05,22,False
2019-05-12,64,False
2019-05-19,84,False
2019-05-26,33,False
2019-06-02,39,False
2019-06-09,42,False
2019-06-16,42,False
2019-06-23,42,False
2019-06-30,21,False
2019-07-07,22,False
2019-07-14,69,False
2019-07-21,25,False
2019-07-28,38,False
2019-08-04,40,False
2019-08-11,84,False
2019-08-18,27,False
2019-08-25,58,False
2019-09-01,62,False
2019-09-08,72,False
2019-09-15,61,False
2019-09-22,59,False
2019-09-29,39,False
2019-10-06,61,False
2019-10-13,61,False
2019-10-20,52,False
2019-10-27,21,False
2019-11-03,40,False
2019-11-10,20,False
2019-11-17,80,False
2019-11-24,99,False
2019-12-01,38,False
2019-12-08,77,False
2019-12-15,20,False
2019-12-22,73,False
2019-12-29,23,False
2020-01-05,38,False
2020-01-12,29,False
2020-01-19,100,False
2020-01-26,39,False
2020-02-02,0,False
2020-02-09,59,False
2020-02-16,80,False
2020-02-23,19,False
2020-03-01,37,False
2020-03-08,0,False
2020-03-15,39,False
2020-03-22,0,False
2020-03-29,40,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,38,False
2020-05-03,19,False
2020-05-10,19,False
2020-05-17,0,True
