date,Sanitärbedarf,isPartial
2018-01-07,59,False
2018-01-14,71,False
2018-01-21,59,False
2018-01-28,26,False
2018-02-04,93,False
2018-02-11,80,False
2018-02-18,46,False
2018-02-25,52,False
2018-03-04,26,False
2018-03-11,53,False
2018-03-18,40,False
2018-03-25,70,False
2018-04-01,99,False
2018-04-08,54,False
2018-04-15,28,False
2018-04-22,80,False
2018-04-29,35,False
2018-05-06,28,False
2018-05-13,66,False
2018-05-20,56,False
2018-05-27,81,False
2018-06-03,53,False
2018-06-10,71,False
2018-06-17,26,False
2018-06-24,87,False
2018-07-01,33,False
2018-07-08,40,False
2018-07-15,41,False
2018-07-22,41,False
2018-07-29,69,False
2018-08-05,81,False
2018-08-12,55,False
2018-08-19,54,False
2018-08-26,20,False
2018-09-02,74,False
2018-09-09,60,False
2018-09-16,100,False
2018-09-23,33,False
2018-09-30,67,False
2018-10-07,40,False
2018-10-14,67,False
2018-10-21,79,False
2018-10-28,58,False
2018-11-04,38,False
2018-11-11,52,False
2018-11-18,50,False
2018-11-25,19,False
2018-12-02,64,False
2018-12-09,51,False
2018-12-16,53,False
2018-12-23,31,False
2018-12-30,68,False
2019-01-06,68,False
2019-01-13,36,False
2019-01-20,72,False
2019-01-27,42,False
2019-02-03,68,False
2019-02-10,44,False
2019-02-17,38,False
2019-02-24,39,False
2019-03-03,49,False
2019-03-10,49,False
2019-03-17,57,False
2019-03-24,63,False
2019-03-31,38,False
2019-04-07,56,False
2019-04-14,41,False
2019-04-21,33,False
2019-04-28,25,False
2019-05-05,73,False
2019-05-12,57,False
2019-05-19,25,False
2019-05-26,64,False
2019-06-02,37,False
2019-06-09,26,False
2019-06-16,39,False
2019-06-23,64,False
2019-06-30,76,False
2019-07-07,57,False
2019-07-14,52,False
2019-07-21,21,False
2019-07-28,46,False
2019-08-04,40,False
2019-08-11,38,False
2019-08-18,52,False
2019-08-25,70,False
2019-09-01,37,False
2019-09-08,63,False
2019-09-15,51,False
2019-09-22,61,False
2019-09-29,31,False
2019-10-06,31,False
2019-10-13,54,False
2019-10-20,36,False
2019-10-27,42,False
2019-11-03,51,False
2019-11-10,58,False
2019-11-17,12,False
2019-11-24,52,False
2019-12-01,82,False
2019-12-08,59,False
2019-12-15,66,False
2019-12-22,34,False
2019-12-29,70,False
2020-01-05,39,False
2020-01-12,49,False
2020-01-19,44,False
2020-01-26,44,False
2020-02-02,78,False
2020-02-09,60,False
2020-02-16,62,False
2020-02-23,49,False
2020-03-01,54,False
2020-03-08,31,False
2020-03-15,30,False
2020-03-22,30,False
2020-03-29,40,False
2020-04-05,38,False
2020-04-12,58,False
2020-04-19,56,False
2020-04-26,45,False
2020-05-03,35,False
2020-05-10,61,False
