date,Wände streichen,isPartial
2018-01-07,23,False
2018-01-14,55,False
2018-01-21,33,False
2018-01-28,45,False
2018-02-04,23,False
2018-02-11,38,False
2018-02-18,46,False
2018-02-25,23,False
2018-03-04,69,False
2018-03-11,68,False
2018-03-18,69,False
2018-03-25,40,False
2018-04-01,37,False
2018-04-08,35,False
2018-04-15,96,False
2018-04-22,47,False
2018-04-29,49,False
2018-05-06,41,False
2018-05-13,23,False
2018-05-20,38,False
2018-05-27,59,False
2018-06-03,48,False
2018-06-10,23,False
2018-06-17,39,False
2018-06-24,23,False
2018-07-01,30,False
2018-07-08,58,False
2018-07-15,31,False
2018-07-22,23,False
2018-07-29,49,False
2018-08-05,42,False
2018-08-12,91,False
2018-08-19,52,False
2018-08-26,68,False
2018-09-02,24,False
2018-09-09,48,False
2018-09-16,47,False
2018-09-23,24,False
2018-09-30,35,False
2018-10-07,35,False
2018-10-14,68,False
2018-10-21,30,False
2018-10-28,69,False
2018-11-04,22,False
2018-11-11,45,False
2018-11-18,21,False
2018-11-25,22,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,23,False
2018-12-23,61,False
2018-12-30,40,False
2019-01-06,35,False
2019-01-13,48,False
2019-01-20,42,False
2019-01-27,28,False
2019-02-03,56,False
2019-02-10,43,False
2019-02-17,65,False
2019-02-24,22,False
2019-03-03,44,False
2019-03-10,21,False
2019-03-17,22,False
2019-03-24,43,False
2019-03-31,32,False
2019-04-07,50,False
2019-04-14,39,False
2019-04-21,23,False
2019-04-28,44,False
2019-05-05,42,False
2019-05-12,43,False
2019-05-19,49,False
2019-05-26,29,False
2019-06-02,44,False
2019-06-09,38,False
2019-06-16,46,False
2019-06-23,55,False
2019-06-30,21,False
2019-07-07,21,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,23,False
2019-08-04,48,False
2019-08-11,39,False
2019-08-18,48,False
2019-08-25,48,False
2019-09-01,45,False
2019-09-08,33,False
2019-09-15,29,False
2019-09-22,53,False
2019-09-29,65,False
2019-10-06,52,False
2019-10-13,20,False
2019-10-20,55,False
2019-10-27,21,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,27,False
2019-11-24,20,False
2019-12-01,41,False
2019-12-08,20,False
2019-12-15,52,False
2019-12-22,24,False
2019-12-29,60,False
2020-01-05,100,False
2020-01-12,38,False
2020-01-19,29,False
2020-01-26,44,False
2020-02-02,38,False
2020-02-09,44,False
2020-02-16,59,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,18,False
2020-03-15,29,False
2020-03-22,39,False
2020-03-29,23,False
2020-04-05,31,False
2020-04-12,54,False
2020-04-19,17,False
2020-04-26,25,False
2020-05-03,43,False
2020-05-10,51,False
2020-05-17,83,True
