date,Wände streichen,isPartial
2018-01-07,65,False
2018-01-14,0,False
2018-01-21,48,False
2018-01-28,64,False
2018-02-04,34,False
2018-02-11,33,False
2018-02-18,65,False
2018-02-25,49,False
2018-03-04,32,False
2018-03-11,65,False
2018-03-18,32,False
2018-03-25,35,False
2018-04-01,91,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,69,False
2018-05-06,36,False
2018-05-13,34,False
2018-05-20,35,False
2018-05-27,34,False
2018-06-03,0,False
2018-06-10,65,False
2018-06-17,0,False
2018-06-24,34,False
2018-07-01,0,False
2018-07-08,53,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,59,False
2018-08-05,38,False
2018-08-12,38,False
2018-08-19,35,False
2018-08-26,52,False
2018-09-02,51,False
2018-09-09,34,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,28,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,32,False
2018-11-11,34,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,66,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,45,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,28,False
2019-01-20,69,False
2019-01-27,38,False
2019-02-03,100,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,48,False
2019-03-03,27,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,39,False
2019-04-14,74,False
2019-04-21,37,False
2019-04-28,53,False
2019-05-05,32,False
2019-05-12,33,False
2019-05-19,43,False
2019-05-26,34,False
2019-06-02,57,False
2019-06-09,34,False
2019-06-16,0,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,46,False
2019-07-21,72,False
2019-07-28,34,False
2019-08-04,34,False
2019-08-11,33,False
2019-08-18,65,False
2019-08-25,91,False
2019-09-01,0,False
2019-09-08,66,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,58,False
2019-10-06,32,False
2019-10-13,42,False
2019-10-20,62,False
2019-10-27,0,False
2019-11-03,40,False
2019-11-10,46,False
2019-11-17,31,False
2019-11-24,60,False
2019-12-01,28,False
2019-12-08,31,False
2019-12-15,32,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,28,False
2020-01-12,29,False
2020-01-19,90,False
2020-01-26,30,False
2020-02-02,31,False
2020-02-09,27,False
2020-02-16,30,False
2020-02-23,28,False
2020-03-01,84,False
2020-03-08,39,False
2020-03-15,28,False
2020-03-22,38,False
2020-03-29,57,False
2020-04-05,58,False
2020-04-12,31,False
2020-04-19,58,False
2020-04-26,46,False
2020-05-03,39,False
2020-05-10,42,False
2020-05-17,66,True
