date,insert bois,isPartial
2018-01-07,31,False
2018-01-14,51,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,63,False
2018-02-11,31,False
2018-02-18,0,False
2018-02-25,47,False
2018-03-04,64,False
2018-03-11,63,False
2018-03-18,64,False
2018-03-25,32,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,47,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,66,False
2018-05-20,50,False
2018-05-27,43,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,31,False
2018-07-08,33,False
2018-07-15,33,False
2018-07-22,0,False
2018-07-29,32,False
2018-08-05,42,False
2018-08-12,31,False
2018-08-19,64,False
2018-08-26,31,False
2018-09-02,64,False
2018-09-09,32,False
2018-09-16,47,False
2018-09-23,32,False
2018-09-30,43,False
2018-10-07,33,False
2018-10-14,100,False
2018-10-21,44,False
2018-10-28,85,False
2018-11-04,62,False
2018-11-11,80,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,31,False
2018-12-09,32,False
2018-12-16,54,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,63,False
2019-01-13,32,False
2019-01-20,31,False
2019-01-27,31,False
2019-02-03,31,False
2019-02-10,33,False
2019-02-17,49,False
2019-02-24,0,False
2019-03-03,31,False
2019-03-10,64,False
2019-03-17,32,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,65,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,61,False
2019-05-12,32,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,44,False
2019-06-09,30,False
2019-06-16,31,False
2019-06-23,30,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,45,False
2019-07-21,30,False
2019-07-28,30,False
2019-08-04,29,False
2019-08-11,28,False
2019-08-18,31,False
2019-08-25,29,False
2019-09-01,29,False
2019-09-08,74,False
2019-09-15,30,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,58,False
2019-10-13,38,False
2019-10-20,57,False
2019-10-27,62,False
2019-11-03,92,False
2019-11-10,56,False
2019-11-17,46,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,41,False
2019-12-15,55,False
2019-12-22,30,False
2019-12-29,72,False
2020-01-05,53,False
2020-01-12,39,False
2020-01-19,55,False
2020-01-26,26,False
2020-02-02,80,False
2020-02-09,26,False
2020-02-16,53,False
2020-02-23,43,False
2020-03-01,50,False
2020-03-08,33,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,34,False
2020-04-19,44,False
2020-04-26,41,False
2020-05-03,21,False
2020-05-10,46,False
2020-05-17,0,True
