date,Bauheizung,isPartial
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,37,False
2018-02-11,22,False
2018-02-18,44,False
2018-02-25,58,False
2018-03-04,22,False
2018-03-11,43,False
2018-03-18,44,False
2018-03-25,23,False
2018-04-01,23,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,22,False
2018-04-29,23,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,23,False
2018-06-03,0,False
2018-06-10,21,False
2018-06-17,0,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,0,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,22,False
2018-09-09,0,False
2018-09-16,22,False
2018-09-23,23,False
2018-09-30,55,False
2018-10-07,22,False
2018-10-14,33,False
2018-10-21,54,False
2018-10-28,54,False
2018-11-04,0,False
2018-11-11,43,False
2018-11-18,62,False
2018-11-25,43,False
2018-12-02,42,False
2018-12-09,43,False
2018-12-16,66,False
2018-12-23,38,False
2018-12-30,34,False
2019-01-06,61,False
2019-01-13,27,False
2019-01-20,100,False
2019-01-27,20,False
2019-02-03,41,False
2019-02-10,21,False
2019-02-17,0,False
2019-02-24,43,False
2019-03-03,20,False
2019-03-10,41,False
2019-03-17,21,False
2019-03-24,42,False
2019-03-31,0,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,21,False
2019-05-05,0,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,21,False
2019-06-02,21,False
2019-06-09,0,False
2019-06-16,22,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,21,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,0,False
2019-08-04,22,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,20,False
2019-10-27,49,False
2019-11-03,19,False
2019-11-10,71,False
2019-11-17,58,False
2019-11-24,48,False
2019-12-01,46,False
2019-12-08,59,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,63,False
2020-01-05,31,False
2020-01-12,18,False
2020-01-19,25,False
2020-01-26,18,False
2020-02-02,18,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,0,False
2020-03-01,54,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,25,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,17,False
2020-05-10,17,False
