date,manichini sartoriali,isPartial
2018-01-07,81,False
2018-01-14,26,False
2018-01-21,0,False
2018-01-28,26,False
2018-02-04,51,False
2018-02-11,79,False
2018-02-18,25,False
2018-02-25,100,False
2018-03-04,25,False
2018-03-11,51,False
2018-03-18,39,False
2018-03-25,0,False
2018-04-01,56,False
2018-04-08,39,False
2018-04-15,53,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,39,False
2018-05-13,26,False
2018-05-20,26,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,25,False
2018-06-17,39,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,0,False
2018-08-26,27,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,52,False
2018-09-30,26,False
2018-10-07,26,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,29,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,38,False
2019-02-24,50,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,0,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,0,False
2019-06-09,26,False
2019-06-16,52,False
2019-06-23,27,False
2019-06-30,0,False
2019-07-07,51,False
2019-07-14,0,False
2019-07-21,26,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,30,False
2019-08-18,28,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,24,False
2019-09-29,0,False
2019-10-06,49,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,47,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,24,False
2020-01-12,23,False
2020-01-19,34,False
2020-01-26,22,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,32,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,0,True
