date,Holzdielen verlegen,isPartial
2018-01-07,75,False
2018-01-14,49,False
2018-01-21,25,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,100,False
2018-03-18,50,False
2018-03-25,27,False
2018-04-01,40,False
2018-04-08,39,False
2018-04-15,27,False
2018-04-22,38,False
2018-04-29,40,False
2018-05-06,53,False
2018-05-13,25,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,63,False
2018-06-10,37,False
2018-06-17,50,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,50,False
2018-07-15,26,False
2018-07-22,52,False
2018-07-29,65,False
2018-08-05,26,False
2018-08-12,53,False
2018-08-19,52,False
2018-08-26,77,False
2018-09-02,26,False
2018-09-09,51,False
2018-09-16,25,False
2018-09-23,38,False
2018-09-30,51,False
2018-10-07,38,False
2018-10-14,25,False
2018-10-21,50,False
2018-10-28,49,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,37,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,78,False
2019-01-06,59,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,46,False
2019-02-03,47,False
2019-02-10,60,False
2019-02-17,24,False
2019-02-24,61,False
2019-03-03,47,False
2019-03-10,35,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,51,False
2019-04-28,48,False
2019-05-05,46,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,49,False
2019-06-23,24,False
2019-06-30,72,False
2019-07-07,24,False
2019-07-14,37,False
2019-07-21,52,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,36,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,70,False
2019-10-13,46,False
2019-10-20,57,False
2019-10-27,23,False
2019-11-03,33,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,45,False
2019-12-15,23,False
2019-12-22,26,False
2019-12-29,72,False
2020-01-05,64,False
2020-01-12,0,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,42,False
2020-02-09,72,False
2020-02-16,43,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,39,False
2020-03-15,29,False
2020-03-22,19,False
2020-03-29,56,False
2020-04-05,52,False
2020-04-12,60,False
2020-04-19,29,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,29,False
