date,fiori per matrimonio,isPartial
2018-01-07,48,False
2018-01-14,34,False
2018-01-21,47,False
2018-01-28,29,False
2018-02-04,62,False
2018-02-11,80,False
2018-02-18,37,False
2018-02-25,28,False
2018-03-04,37,False
2018-03-11,54,False
2018-03-18,46,False
2018-03-25,18,False
2018-04-01,50,False
2018-04-08,59,False
2018-04-15,47,False
2018-04-22,45,False
2018-04-29,56,False
2018-05-06,51,False
2018-05-13,63,False
2018-05-20,47,False
2018-05-27,69,False
2018-06-03,56,False
2018-06-10,70,False
2018-06-17,55,False
2018-06-24,51,False
2018-07-01,46,False
2018-07-08,42,False
2018-07-15,39,False
2018-07-22,47,False
2018-07-29,35,False
2018-08-05,45,False
2018-08-12,14,False
2018-08-19,52,False
2018-08-26,100,False
2018-09-02,58,False
2018-09-09,42,False
2018-09-16,37,False
2018-09-23,21,False
2018-09-30,50,False
2018-10-07,60,False
2018-10-14,39,False
2018-10-21,34,False
2018-10-28,42,False
2018-11-04,16,False
2018-11-11,17,False
2018-11-18,21,False
2018-11-25,30,False
2018-12-02,21,False
2018-12-09,13,False
2018-12-16,0,False
2018-12-23,10,False
2018-12-30,37,False
2019-01-06,34,False
2019-01-13,37,False
2019-01-20,56,False
2019-01-27,31,False
2019-02-03,44,False
2019-02-10,49,False
2019-02-17,54,False
2019-02-24,41,False
2019-03-03,26,False
2019-03-10,42,False
2019-03-17,43,False
2019-03-24,34,False
2019-03-31,54,False
2019-04-07,62,False
2019-04-14,43,False
2019-04-21,49,False
2019-04-28,33,False
2019-05-05,48,False
2019-05-12,52,False
2019-05-19,40,False
2019-05-26,47,False
2019-06-02,29,False
2019-06-09,46,False
2019-06-16,55,False
2019-06-23,64,False
2019-06-30,47,False
2019-07-07,37,False
2019-07-14,43,False
2019-07-21,22,False
2019-07-28,30,False
2019-08-04,31,False
2019-08-11,29,False
2019-08-18,44,False
2019-08-25,65,False
2019-09-01,80,False
2019-09-08,52,False
2019-09-15,43,False
2019-09-22,50,False
2019-09-29,35,False
2019-10-06,44,False
2019-10-13,35,False
2019-10-20,46,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,15,False
2019-11-17,26,False
2019-11-24,0,False
2019-12-01,8,False
2019-12-08,16,False
2019-12-15,20,False
2019-12-22,18,False
2019-12-29,35,False
2020-01-05,31,False
2020-01-12,25,False
2020-01-19,44,False
2020-01-26,47,False
2020-02-02,21,False
2020-02-09,33,False
2020-02-16,40,False
2020-02-23,28,False
2020-03-01,31,False
2020-03-08,10,False
2020-03-15,7,False
2020-03-22,15,False
2020-03-29,19,False
2020-04-05,7,False
2020-04-12,27,False
2020-04-19,22,False
2020-04-26,28,True
