date,foto nozze,isPartial
2018-01-07,6,False
2018-01-14,20,False
2018-01-21,25,False
2018-01-28,6,False
2018-02-04,17,False
2018-02-11,11,False
2018-02-18,14,False
2018-02-25,5,False
2018-03-04,5,False
2018-03-11,6,False
2018-03-18,28,False
2018-03-25,30,False
2018-04-01,6,False
2018-04-08,17,False
2018-04-15,12,False
2018-04-22,9,False
2018-04-29,11,False
2018-05-06,14,False
2018-05-13,48,False
2018-05-20,100,False
2018-05-27,6,False
2018-06-03,11,False
2018-06-10,16,False
2018-06-17,17,False
2018-06-24,11,False
2018-07-01,17,False
2018-07-08,6,False
2018-07-15,6,False
2018-07-22,9,False
2018-07-29,0,False
2018-08-05,6,False
2018-08-12,6,False
2018-08-19,6,False
2018-08-26,9,False
2018-09-02,28,False
2018-09-09,11,False
2018-09-16,16,False
2018-09-23,6,False
2018-09-30,17,False
2018-10-07,23,False
2018-10-14,12,False
2018-10-21,14,False
2018-10-28,6,False
2018-11-04,16,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,11,False
2018-12-02,6,False
2018-12-09,11,False
2018-12-16,9,False
2018-12-23,14,False
2018-12-30,6,False
2019-01-06,9,False
2019-01-13,6,False
2019-01-20,13,False
2019-01-27,5,False
2019-02-03,5,False
2019-02-10,16,False
2019-02-17,0,False
2019-02-24,11,False
2019-03-03,6,False
2019-03-10,17,False
2019-03-17,9,False
2019-03-24,14,False
2019-03-31,6,False
2019-04-07,0,False
2019-04-14,9,False
2019-04-21,0,False
2019-04-28,6,False
2019-05-05,16,False
2019-05-12,14,False
2019-05-19,21,False
2019-05-26,5,False
2019-06-02,28,False
2019-06-09,6,False
2019-06-16,8,False
2019-06-23,17,False
2019-06-30,9,False
2019-07-07,28,False
2019-07-14,20,False
2019-07-21,14,False
2019-07-28,12,False
2019-08-04,6,False
2019-08-11,0,False
2019-08-18,6,False
2019-08-25,5,False
2019-09-01,8,False
2019-09-08,11,False
2019-09-15,16,False
2019-09-22,18,False
2019-09-29,13,False
2019-10-06,5,False
2019-10-13,5,False
2019-10-20,10,False
2019-10-27,5,False
2019-11-03,10,False
2019-11-10,5,False
2019-11-17,10,False
2019-11-24,8,False
2019-12-01,16,False
2019-12-08,5,False
2019-12-15,0,False
2019-12-22,6,False
2019-12-29,0,False
2020-01-05,10,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,12,False
2020-02-02,5,False
2020-02-09,12,False
2020-02-16,5,False
2020-02-23,0,False
2020-03-01,5,False
2020-03-08,7,False
2020-03-15,4,False
2020-03-22,4,False
2020-03-29,6,False
2020-04-05,9,False
2020-04-12,7,False
2020-04-19,6,False
2020-04-26,7,True
