date,Cours particuliers maths,isPartial
2018-01-07,50,False
2018-01-14,50,False
2018-01-21,36,False
2018-01-28,33,False
2018-02-04,36,False
2018-02-11,22,False
2018-02-18,44,False
2018-02-25,22,False
2018-03-04,22,False
2018-03-11,36,False
2018-03-18,22,False
2018-03-25,44,False
2018-04-01,23,False
2018-04-08,44,False
2018-04-15,24,False
2018-04-22,23,False
2018-04-29,68,False
2018-05-06,23,False
2018-05-13,55,False
2018-05-20,34,False
2018-05-27,29,False
2018-06-03,22,False
2018-06-10,42,False
2018-06-17,22,False
2018-06-24,44,False
2018-07-01,22,False
2018-07-08,45,False
2018-07-15,24,False
2018-07-22,24,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,75,False
2018-08-19,24,False
2018-08-26,38,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,56,False
2018-09-23,79,False
2018-09-30,90,False
2018-10-07,90,False
2018-10-14,45,False
2018-10-21,56,False
2018-10-28,38,False
2018-11-04,87,False
2018-11-11,36,False
2018-11-18,32,False
2018-11-25,22,False
2018-12-02,44,False
2018-12-09,33,False
2018-12-16,45,False
2018-12-23,26,False
2018-12-30,56,False
2019-01-06,65,False
2019-01-13,51,False
2019-01-20,64,False
2019-01-27,35,False
2019-02-03,42,False
2019-02-10,67,False
2019-02-17,45,False
2019-02-24,34,False
2019-03-03,54,False
2019-03-10,44,False
2019-03-17,56,False
2019-03-24,45,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,38,False
2019-04-21,45,False
2019-04-28,33,False
2019-05-05,43,False
2019-05-12,32,False
2019-05-19,43,False
2019-05-26,22,False
2019-06-02,34,False
2019-06-09,32,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,22,False
2019-07-07,65,False
2019-07-14,30,False
2019-07-21,23,False
2019-07-28,71,False
2019-08-04,24,False
2019-08-11,35,False
2019-08-18,46,False
2019-08-25,43,False
2019-09-01,56,False
2019-09-08,63,False
2019-09-15,62,False
2019-09-22,100,False
2019-09-29,30,False
2019-10-06,31,False
2019-10-13,61,False
2019-10-20,20,False
2019-10-27,40,False
2019-11-03,46,False
2019-11-10,67,False
2019-11-17,59,False
2019-11-24,45,False
2019-12-01,58,False
2019-12-08,19,False
2019-12-15,26,False
2019-12-22,59,False
2019-12-29,21,False
2020-01-05,48,False
2020-01-12,50,False
2020-01-19,49,False
2020-01-26,19,False
2020-02-02,32,False
2020-02-09,28,False
2020-02-16,26,False
2020-02-23,31,False
2020-03-01,46,False
2020-03-08,45,False
2020-03-15,17,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,16,False
2020-05-03,24,False
2020-05-10,34,False
2020-05-17,0,True
