date,Fliesenlegermeister,isPartial
2018-01-07,69,False
2018-01-14,27,False
2018-01-21,54,False
2018-01-28,27,False
2018-02-04,47,False
2018-02-11,37,False
2018-02-18,28,False
2018-02-25,41,False
2018-03-04,41,False
2018-03-11,27,False
2018-03-18,56,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,28,False
2018-04-15,59,False
2018-04-22,0,False
2018-04-29,48,False
2018-05-06,29,False
2018-05-13,0,False
2018-05-20,60,False
2018-05-27,28,False
2018-06-03,28,False
2018-06-10,0,False
2018-06-17,83,False
2018-06-24,0,False
2018-07-01,27,False
2018-07-08,65,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,29,False
2018-08-05,66,False
2018-08-12,39,False
2018-08-19,43,False
2018-08-26,38,False
2018-09-02,56,False
2018-09-09,37,False
2018-09-16,42,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,56,False
2018-10-14,0,False
2018-10-21,41,False
2018-10-28,27,False
2018-11-04,35,False
2018-11-11,0,False
2018-11-18,26,False
2018-11-25,53,False
2018-12-02,53,False
2018-12-09,40,False
2018-12-16,28,False
2018-12-23,0,False
2018-12-30,29,False
2019-01-06,34,False
2019-01-13,25,False
2019-01-20,51,False
2019-01-27,25,False
2019-02-03,26,False
2019-02-10,65,False
2019-02-17,35,False
2019-02-24,27,False
2019-03-03,39,False
2019-03-10,34,False
2019-03-17,27,False
2019-03-24,44,False
2019-03-31,54,False
2019-04-07,40,False
2019-04-14,58,False
2019-04-21,37,False
2019-04-28,26,False
2019-05-05,51,False
2019-05-12,40,False
2019-05-19,26,False
2019-05-26,27,False
2019-06-02,26,False
2019-06-09,54,False
2019-06-16,36,False
2019-06-23,40,False
2019-06-30,40,False
2019-07-07,26,False
2019-07-14,55,False
2019-07-21,29,False
2019-07-28,42,False
2019-08-04,0,False
2019-08-11,27,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,43,False
2019-09-08,44,False
2019-09-15,26,False
2019-09-22,51,False
2019-09-29,26,False
2019-10-06,43,False
2019-10-13,38,False
2019-10-20,25,False
2019-10-27,100,False
2019-11-03,48,False
2019-11-10,57,False
2019-11-17,61,False
2019-11-24,40,False
2019-12-01,25,False
2019-12-08,33,False
2019-12-15,59,False
2019-12-22,57,False
2019-12-29,27,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,55,False
2020-01-26,35,False
2020-02-02,47,False
2020-02-09,23,False
2020-02-16,47,False
2020-02-23,46,False
2020-03-01,80,False
2020-03-08,43,False
2020-03-15,31,False
2020-03-22,28,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,43,False
2020-04-26,42,False
2020-05-03,42,False
2020-05-10,32,False
