date,lista nozze,isPartial
2018-01-07,18,False
2018-01-14,36,False
2018-01-21,36,False
2018-01-28,0,False
2018-02-04,17,False
2018-02-11,18,False
2018-02-18,18,False
2018-02-25,28,False
2018-03-04,37,False
2018-03-11,19,False
2018-03-18,29,False
2018-03-25,31,False
2018-04-01,63,False
2018-04-08,66,False
2018-04-15,38,False
2018-04-22,99,False
2018-04-29,49,False
2018-05-06,89,False
2018-05-13,48,False
2018-05-20,58,False
2018-05-27,100,False
2018-06-03,50,False
2018-06-10,89,False
2018-06-17,56,False
2018-06-24,37,False
2018-07-01,48,False
2018-07-08,19,False
2018-07-15,39,False
2018-07-22,47,False
2018-07-29,55,False
2018-08-05,35,False
2018-08-12,0,False
2018-08-19,42,False
2018-08-26,36,False
2018-09-02,46,False
2018-09-09,19,False
2018-09-16,27,False
2018-09-23,36,False
2018-09-30,36,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,38,False
2018-10-28,55,False
2018-11-04,38,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,19,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,22,False
2018-12-30,39,False
2019-01-06,19,False
2019-01-13,0,False
2019-01-20,17,False
2019-01-27,0,False
2019-02-03,18,False
2019-02-10,27,False
2019-02-17,45,False
2019-02-24,55,False
2019-03-03,0,False
2019-03-10,55,False
2019-03-17,18,False
2019-03-24,18,False
2019-03-31,18,False
2019-04-07,37,False
2019-04-14,19,False
2019-04-21,39,False
2019-04-28,28,False
2019-05-05,82,False
2019-05-12,26,False
2019-05-19,18,False
2019-05-26,34,False
2019-06-02,55,False
2019-06-09,28,False
2019-06-16,98,False
2019-06-23,47,False
2019-06-30,87,False
2019-07-07,47,False
2019-07-14,37,False
2019-07-21,67,False
2019-07-28,37,False
2019-08-04,36,False
2019-08-11,0,False
2019-08-18,17,False
2019-08-25,34,False
2019-09-01,24,False
2019-09-08,52,False
2019-09-15,17,False
2019-09-22,17,False
2019-09-29,18,False
2019-10-06,0,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,36,False
2019-11-17,18,False
2019-11-24,35,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,19,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,0,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,25,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,29,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,14,False
2020-04-26,0,True
