date,lista nozze,isPartial
2018-01-07,12,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,46,False
2018-02-04,12,False
2018-02-11,23,False
2018-02-18,11,False
2018-02-25,11,False
2018-03-04,44,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,11,False
2018-04-15,81,False
2018-04-22,36,False
2018-04-29,46,False
2018-05-06,23,False
2018-05-13,56,False
2018-05-20,56,False
2018-05-27,56,False
2018-06-03,34,False
2018-06-10,45,False
2018-06-17,58,False
2018-06-24,71,False
2018-07-01,23,False
2018-07-08,58,False
2018-07-15,36,False
2018-07-22,48,False
2018-07-29,0,False
2018-08-05,41,False
2018-08-12,31,False
2018-08-19,0,False
2018-08-26,37,False
2018-09-02,11,False
2018-09-09,54,False
2018-09-16,32,False
2018-09-23,22,False
2018-09-30,11,False
2018-10-07,11,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,11,False
2018-11-11,0,False
2018-11-18,21,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,11,False
2018-12-16,11,False
2018-12-23,0,False
2018-12-30,13,False
2019-01-06,22,False
2019-01-13,21,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,43,False
2019-02-17,11,False
2019-02-24,11,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,11,False
2019-03-31,34,False
2019-04-07,11,False
2019-04-14,23,False
2019-04-21,25,False
2019-04-28,23,False
2019-05-05,22,False
2019-05-12,0,False
2019-05-19,21,False
2019-05-26,10,False
2019-06-02,0,False
2019-06-09,100,False
2019-06-16,22,False
2019-06-23,46,False
2019-06-30,57,False
2019-07-07,57,False
2019-07-14,0,False
2019-07-21,12,False
2019-07-28,12,False
2019-08-04,40,False
2019-08-11,30,False
2019-08-18,14,False
2019-08-25,73,False
2019-09-01,21,False
2019-09-08,0,False
2019-09-15,10,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,11,False
2019-10-13,10,False
2019-10-20,10,False
2019-10-27,0,False
2019-11-03,10,False
2019-11-10,10,False
2019-11-17,20,False
2019-11-24,29,False
2019-12-01,0,False
2019-12-08,10,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,29,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,38,False
2020-02-16,10,False
2020-02-23,18,False
2020-03-01,46,False
2020-03-08,9,False
2020-03-15,9,False
2020-03-22,17,False
2020-03-29,0,False
2020-04-05,18,False
2020-04-12,0,False
2020-04-19,9,False
2020-04-26,0,True
