date,torta mimosa,isPartial
2018-01-07,8,False
2018-01-14,8,False
2018-01-21,8,False
2018-01-28,3,False
2018-02-04,5,False
2018-02-11,8,False
2018-02-18,6,False
2018-02-25,18,False
2018-03-04,94,False
2018-03-11,12,False
2018-03-18,4,False
2018-03-25,12,False
2018-04-01,5,False
2018-04-08,14,False
2018-04-15,5,False
2018-04-22,5,False
2018-04-29,5,False
2018-05-06,5,False
2018-05-13,10,False
2018-05-20,4,False
2018-05-27,8,False
2018-06-03,3,False
2018-06-10,2,False
2018-06-17,2,False
2018-06-24,5,False
2018-07-01,0,False
2018-07-08,4,False
2018-07-15,3,False
2018-07-22,8,False
2018-07-29,3,False
2018-08-05,3,False
2018-08-12,0,False
2018-08-19,7,False
2018-08-26,6,False
2018-09-02,10,False
2018-09-09,2,False
2018-09-16,4,False
2018-09-23,5,False
2018-09-30,6,False
2018-10-07,9,False
2018-10-14,4,False
2018-10-21,10,False
2018-10-28,9,False
2018-11-04,7,False
2018-11-11,4,False
2018-11-18,5,False
2018-11-25,9,False
2018-12-02,6,False
2018-12-09,4,False
2018-12-16,0,False
2018-12-23,7,False
2018-12-30,3,False
2019-01-06,3,False
2019-01-13,4,False
2019-01-20,6,False
2019-01-27,7,False
2019-02-03,11,False
2019-02-10,13,False
2019-02-17,14,False
2019-02-24,7,False
2019-03-03,95,False
2019-03-10,14,False
2019-03-17,9,False
2019-03-24,10,False
2019-03-31,8,False
2019-04-07,9,False
2019-04-14,14,False
2019-04-21,6,False
2019-04-28,4,False
2019-05-05,5,False
2019-05-12,3,False
2019-05-19,5,False
2019-05-26,5,False
2019-06-02,0,False
2019-06-09,4,False
2019-06-16,0,False
2019-06-23,9,False
2019-06-30,6,False
2019-07-07,5,False
2019-07-14,3,False
2019-07-21,6,False
2019-07-28,3,False
2019-08-04,0,False
2019-08-11,11,False
2019-08-18,3,False
2019-08-25,4,False
2019-09-01,4,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,7,False
2019-09-29,4,False
2019-10-06,5,False
2019-10-13,5,False
2019-10-20,10,False
2019-10-27,13,False
2019-11-03,3,False
2019-11-10,3,False
2019-11-17,4,False
2019-11-24,8,False
2019-12-01,11,False
2019-12-08,4,False
2019-12-15,3,False
2019-12-22,3,False
2019-12-29,9,False
2020-01-05,3,False
2020-01-12,6,False
2020-01-19,5,False
2020-01-26,4,False
2020-02-02,5,False
2020-02-09,5,False
2020-02-16,23,False
2020-02-23,19,False
2020-03-01,100,False
2020-03-08,51,False
2020-03-15,24,False
2020-03-22,13,False
2020-03-29,25,False
2020-04-05,27,False
2020-04-12,8,False
2020-04-19,13,False
2020-04-26,16,True
