date,torta mimosa,isPartial
2018-01-07,2,False
2018-01-14,4,False
2018-01-21,4,False
2018-01-28,3,False
2018-02-04,3,False
2018-02-11,5,False
2018-02-18,4,False
2018-02-25,13,False
2018-03-04,70,False
2018-03-11,10,False
2018-03-18,4,False
2018-03-25,4,False
2018-04-01,3,False
2018-04-08,5,False
2018-04-15,3,False
2018-04-22,3,False
2018-04-29,0,False
2018-05-06,6,False
2018-05-13,7,False
2018-05-20,0,False
2018-05-27,3,False
2018-06-03,4,False
2018-06-10,2,False
2018-06-17,2,False
2018-06-24,2,False
2018-07-01,2,False
2018-07-08,3,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,3,False
2018-08-05,2,False
2018-08-12,2,False
2018-08-19,4,False
2018-08-26,2,False
2018-09-02,2,False
2018-09-09,2,False
2018-09-16,0,False
2018-09-23,4,False
2018-09-30,2,False
2018-10-07,4,False
2018-10-14,2,False
2018-10-21,0,False
2018-10-28,3,False
2018-11-04,0,False
2018-11-11,2,False
2018-11-18,4,False
2018-11-25,2,False
2018-12-02,3,False
2018-12-09,2,False
2018-12-16,2,False
2018-12-23,2,False
2018-12-30,2,False
2019-01-06,2,False
2019-01-13,2,False
2019-01-20,2,False
2019-01-27,6,False
2019-02-03,2,False
2019-02-10,5,False
2019-02-17,8,False
2019-02-24,9,False
2019-03-03,71,False
2019-03-10,14,False
2019-03-17,3,False
2019-03-24,2,False
2019-03-31,6,False
2019-04-07,3,False
2019-04-14,3,False
2019-04-21,3,False
2019-04-28,2,False
2019-05-05,4,False
2019-05-12,2,False
2019-05-19,2,False
2019-05-26,2,False
2019-06-02,2,False
2019-06-09,3,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,7,False
2019-07-28,2,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,2,False
2019-08-25,0,False
2019-09-01,2,False
2019-09-08,2,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,2,False
2019-10-06,2,False
2019-10-13,2,False
2019-10-20,2,False
2019-10-27,3,False
2019-11-03,2,False
2019-11-10,0,False
2019-11-17,3,False
2019-11-24,1,False
2019-12-01,2,False
2019-12-08,2,False
2019-12-15,0,False
2019-12-22,2,False
2019-12-29,5,False
2020-01-05,2,False
2020-01-12,1,False
2020-01-19,3,False
2020-01-26,3,False
2020-02-02,3,False
2020-02-09,2,False
2020-02-16,6,False
2020-02-23,10,False
2020-03-01,100,False
2020-03-08,37,False
2020-03-15,7,False
2020-03-22,11,False
2020-03-29,8,False
2020-04-05,18,False
2020-04-12,5,False
2020-04-19,5,False
2020-04-26,6,True
