date,torta mimosa,isPartial
2018-01-07,2,False
2018-01-14,2,False
2018-01-21,2,False
2018-01-28,2,False
2018-02-04,3,False
2018-02-11,2,False
2018-02-18,3,False
2018-02-25,14,False
2018-03-04,73,False
2018-03-11,10,False
2018-03-18,5,False
2018-03-25,5,False
2018-04-01,2,False
2018-04-08,2,False
2018-04-15,1,False
2018-04-22,2,False
2018-04-29,1,False
2018-05-06,4,False
2018-05-13,3,False
2018-05-20,2,False
2018-05-27,0,False
2018-06-03,1,False
2018-06-10,1,False
2018-06-17,2,False
2018-06-24,2,False
2018-07-01,2,False
2018-07-08,1,False
2018-07-15,0,False
2018-07-22,1,False
2018-07-29,1,False
2018-08-05,1,False
2018-08-12,2,False
2018-08-19,1,False
2018-08-26,1,False
2018-09-02,1,False
2018-09-09,1,False
2018-09-16,1,False
2018-09-23,2,False
2018-09-30,0,False
2018-10-07,2,False
2018-10-14,2,False
2018-10-21,2,False
2018-10-28,1,False
2018-11-04,2,False
2018-11-11,1,False
2018-11-18,2,False
2018-11-25,1,False
2018-12-02,1,False
2018-12-09,2,False
2018-12-16,1,False
2018-12-23,1,False
2018-12-30,1,False
2019-01-06,3,False
2019-01-13,2,False
2019-01-20,5,False
2019-01-27,2,False
2019-02-03,3,False
2019-02-10,2,False
2019-02-17,5,False
2019-02-24,9,False
2019-03-03,74,False
2019-03-10,10,False
2019-03-17,4,False
2019-03-24,4,False
2019-03-31,3,False
2019-04-07,3,False
2019-04-14,2,False
2019-04-21,2,False
2019-04-28,3,False
2019-05-05,5,False
2019-05-12,3,False
2019-05-19,1,False
2019-05-26,2,False
2019-06-02,2,False
2019-06-09,1,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,1,False
2019-07-14,1,False
2019-07-21,0,False
2019-07-28,1,False
2019-08-04,1,False
2019-08-11,1,False
2019-08-18,1,False
2019-08-25,3,False
2019-09-01,2,False
2019-09-08,1,False
2019-09-15,1,False
2019-09-22,1,False
2019-09-29,1,False
2019-10-06,1,False
2019-10-13,2,False
2019-10-20,1,False
2019-10-27,1,False
2019-11-03,1,False
2019-11-10,2,False
2019-11-17,2,False
2019-11-24,2,False
2019-12-01,0,False
2019-12-08,1,False
2019-12-15,2,False
2019-12-22,2,False
2019-12-29,1,False
2020-01-05,1,False
2020-01-12,1,False
2020-01-19,2,False
2020-01-26,2,False
2020-02-02,2,False
2020-02-09,3,False
2020-02-16,5,False
2020-02-23,9,False
2020-03-01,100,False
2020-03-08,39,False
2020-03-15,8,False
2020-03-22,6,False
2020-03-29,7,False
2020-04-05,8,False
2020-04-12,4,False
2020-04-19,6,False
2020-04-26,5,True
