date,Kaminbauer,isPartial
2018-01-07,28,False
2018-01-14,28,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,38,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,44,False
2018-03-25,31,False
2018-04-01,32,False
2018-04-08,45,False
2018-04-15,30,False
2018-04-22,29,False
2018-04-29,45,False
2018-05-06,60,False
2018-05-13,0,False
2018-05-20,31,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,31,False
2018-08-19,47,False
2018-08-26,31,False
2018-09-02,30,False
2018-09-09,58,False
2018-09-16,0,False
2018-09-23,59,False
2018-09-30,48,False
2018-10-07,29,False
2018-10-14,86,False
2018-10-21,29,False
2018-10-28,48,False
2018-11-04,28,False
2018-11-11,56,False
2018-11-18,27,False
2018-11-25,55,False
2018-12-02,27,False
2018-12-09,69,False
2018-12-16,29,False
2018-12-23,67,False
2018-12-30,0,False
2019-01-06,53,False
2019-01-13,52,False
2019-01-20,39,False
2019-01-27,26,False
2019-02-03,52,False
2019-02-10,54,False
2019-02-17,54,False
2019-02-24,0,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,42,False
2019-03-24,28,False
2019-03-31,0,False
2019-04-07,28,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,26,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,56,False
2019-06-02,27,False
2019-06-09,58,False
2019-06-16,28,False
2019-06-23,56,False
2019-06-30,27,False
2019-07-07,26,False
2019-07-14,36,False
2019-07-21,0,False
2019-07-28,28,False
2019-08-04,29,False
2019-08-11,29,False
2019-08-18,30,False
2019-08-25,44,False
2019-09-01,83,False
2019-09-08,36,False
2019-09-15,82,False
2019-09-22,66,False
2019-09-29,36,False
2019-10-06,52,False
2019-10-13,26,False
2019-10-20,35,False
2019-10-27,26,False
2019-11-03,38,False
2019-11-10,43,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,78,False
2019-12-15,27,False
2019-12-22,30,False
2019-12-29,56,False
2020-01-05,100,False
2020-01-12,24,False
2020-01-19,41,False
2020-01-26,49,False
2020-02-02,32,False
2020-02-09,23,False
2020-02-16,50,False
2020-02-23,25,False
2020-03-01,36,False
2020-03-08,30,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,44,False
2020-04-05,24,False
2020-04-12,23,False
2020-04-19,23,False
2020-04-26,44,False
2020-05-03,45,False
2020-05-10,38,False
