date,Kaminbauer,isPartial
2018-01-07,73,False
2018-01-14,27,False
2018-01-21,54,False
2018-01-28,27,False
2018-02-04,47,False
2018-02-11,28,False
2018-02-18,41,False
2018-02-25,54,False
2018-03-04,41,False
2018-03-11,45,False
2018-03-18,46,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,82,False
2018-04-15,28,False
2018-04-22,40,False
2018-04-29,42,False
2018-05-06,0,False
2018-05-13,40,False
2018-05-20,29,False
2018-05-27,27,False
2018-06-03,28,False
2018-06-10,26,False
2018-06-17,53,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,58,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,55,False
2018-09-02,55,False
2018-09-09,0,False
2018-09-16,97,False
2018-09-23,46,False
2018-09-30,56,False
2018-10-07,56,False
2018-10-14,28,False
2018-10-21,37,False
2018-10-28,54,False
2018-11-04,39,False
2018-11-11,0,False
2018-11-18,35,False
2018-11-25,35,False
2018-12-02,44,False
2018-12-09,62,False
2018-12-16,63,False
2018-12-23,62,False
2018-12-30,57,False
2019-01-06,64,False
2019-01-13,50,False
2019-01-20,100,False
2019-01-27,50,False
2019-02-03,34,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,35,False
2019-03-03,38,False
2019-03-10,33,False
2019-03-17,53,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,53,False
2019-04-14,43,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,25,False
2019-05-12,26,False
2019-05-19,0,False
2019-05-26,26,False
2019-06-02,0,False
2019-06-09,26,False
2019-06-16,66,False
2019-06-23,0,False
2019-06-30,51,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,59,False
2019-07-28,28,False
2019-08-04,57,False
2019-08-11,41,False
2019-08-18,41,False
2019-08-25,53,False
2019-09-01,64,False
2019-09-08,53,False
2019-09-15,39,False
2019-09-22,76,False
2019-09-29,26,False
2019-10-06,59,False
2019-10-13,51,False
2019-10-20,51,False
2019-10-27,88,False
2019-11-03,71,False
2019-11-10,24,False
2019-11-17,48,False
2019-11-24,47,False
2019-12-01,48,False
2019-12-08,48,False
2019-12-15,72,False
2019-12-22,28,False
2019-12-29,53,False
2020-01-05,23,False
2020-01-12,45,False
2020-01-19,35,False
2020-01-26,69,False
2020-02-02,23,False
2020-02-09,44,False
2020-02-16,46,False
2020-02-23,22,False
2020-03-01,45,False
2020-03-08,52,False
2020-03-15,31,False
2020-03-22,21,False
2020-03-29,41,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,42,False
2020-04-26,20,False
2020-05-03,42,False
2020-05-10,43,False
