date,fabrication de portail,isPartial
2018-01-07,0,False
2018-01-14,56,False
2018-01-21,0,False
2018-01-28,48,False
2018-02-04,28,False
2018-02-11,48,False
2018-02-18,0,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,48,False
2018-03-18,87,False
2018-03-25,59,False
2018-04-01,29,False
2018-04-08,29,False
2018-04-15,31,False
2018-04-22,60,False
2018-04-29,45,False
2018-05-06,31,False
2018-05-13,72,False
2018-05-20,30,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,29,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,64,False
2018-08-05,32,False
2018-08-12,32,False
2018-08-19,32,False
2018-08-26,30,False
2018-09-02,0,False
2018-09-09,30,False
2018-09-16,29,False
2018-09-23,30,False
2018-09-30,29,False
2018-10-07,60,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,59,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,60,False
2018-12-23,34,False
2018-12-30,0,False
2019-01-06,57,False
2019-01-13,29,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,0,False
2019-02-17,30,False
2019-02-24,44,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,43,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,28,False
2019-05-12,43,False
2019-05-19,28,False
2019-05-26,0,False
2019-06-02,53,False
2019-06-09,46,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,56,False
2019-07-07,38,False
2019-07-14,0,False
2019-07-21,30,False
2019-07-28,61,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,83,False
2019-09-15,27,False
2019-09-22,0,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,53,False
2019-11-03,26,False
2019-11-10,0,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,51,False
2019-12-15,26,False
2019-12-22,58,False
2019-12-29,28,False
2020-01-05,25,False
2020-01-12,49,False
2020-01-19,0,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,100,False
2020-02-16,0,False
2020-02-23,49,False
2020-03-01,40,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,22,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,32,False
2020-05-03,50,False
2020-05-10,34,False
2020-05-17,28,True
