date,matrimonio da favola,isPartial
2018-01-07,3,False
2018-01-14,3,False
2018-01-21,3,False
2018-01-28,2,False
2018-02-04,1,False
2018-02-11,3,False
2018-02-18,3,False
2018-02-25,4,False
2018-03-04,4,False
2018-03-11,2,False
2018-03-18,4,False
2018-03-25,0,False
2018-04-01,2,False
2018-04-08,4,False
2018-04-15,1,False
2018-04-22,3,False
2018-04-29,1,False
2018-05-06,1,False
2018-05-13,2,False
2018-05-20,0,False
2018-05-27,3,False
2018-06-03,1,False
2018-06-10,100,False
2018-06-17,9,False
2018-06-24,4,False
2018-07-01,4,False
2018-07-08,1,False
2018-07-15,2,False
2018-07-22,2,False
2018-07-29,1,False
2018-08-05,1,False
2018-08-12,4,False
2018-08-19,1,False
2018-08-26,5,False
2018-09-02,4,False
2018-09-09,1,False
2018-09-16,4,False
2018-09-23,3,False
2018-09-30,3,False
2018-10-07,3,False
2018-10-14,1,False
2018-10-21,3,False
2018-10-28,4,False
2018-11-04,2,False
2018-11-11,2,False
2018-11-18,3,False
2018-11-25,70,False
2018-12-02,3,False
2018-12-09,1,False
2018-12-16,15,False
2018-12-23,3,False
2018-12-30,3,False
2019-01-06,2,False
2019-01-13,1,False
2019-01-20,2,False
2019-01-27,3,False
2019-02-03,1,False
2019-02-10,1,False
2019-02-17,3,False
2019-02-24,1,False
2019-03-03,3,False
2019-03-10,3,False
2019-03-17,3,False
2019-03-24,4,False
2019-03-31,1,False
2019-04-07,1,False
2019-04-14,3,False
2019-04-21,1,False
2019-04-28,2,False
2019-05-05,2,False
2019-05-12,1,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,4,False
2019-06-09,84,False
2019-06-16,4,False
2019-06-23,4,False
2019-06-30,0,False
2019-07-07,1,False
2019-07-14,3,False
2019-07-21,0,False
2019-07-28,2,False
2019-08-04,1,False
2019-08-11,4,False
2019-08-18,1,False
2019-08-25,2,False
2019-09-01,3,False
2019-09-08,4,False
2019-09-15,2,False
2019-09-22,2,False
2019-09-29,1,False
2019-10-06,1,False
2019-10-13,2,False
2019-10-20,1,False
2019-10-27,0,False
2019-11-03,2,False
2019-11-10,1,False
2019-11-17,0,False
2019-11-24,2,False
2019-12-01,2,False
2019-12-08,1,False
2019-12-15,0,False
2019-12-22,77,False
2019-12-29,9,False
2020-01-05,2,False
2020-01-12,1,False
2020-01-19,2,False
2020-01-26,2,False
2020-02-02,2,False
2020-02-09,1,False
2020-02-16,1,False
2020-02-23,1,False
2020-03-01,1,False
2020-03-08,2,False
2020-03-15,2,False
2020-03-22,5,False
2020-03-29,1,False
2020-04-05,3,False
2020-04-12,2,False
2020-04-19,3,False
2020-04-26,0,True
